//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		357.80	0	1.9610	0	34.6710	0	27.711	0	185.0	0	54.2	0		8	0.03	0	0.000117	0	2.75	0	7.8442	0	7.5400	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		356.10	0	1.9610	0	34.6700	0	27.710	0	179.3	0	52.6	0		8	0.04	0	0.000116	0	2.73	0	7.8436	0	7.5394	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		354.00	0	1.9610	0	34.6690	0	27.710	0	178.1	0	52.2	0		8	0.03	0	0.000115	0	2.73	0	7.8435	0	7.5392	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		352.00	0	1.9610	0	34.6690	0	27.710	0	177.6	0	52.1	0		8	0.04	0	0.000115	0	2.73	0	7.8428	0	7.5386	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		350.00	0	1.9610	0	34.6680	0	27.709	0	177.2	0	52.0	0	36.30	0	0.03	0	0.000116	0	2.72	0	7.8421	0	7.5378	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		348.00	0	1.9610	0	34.6670	0	27.708	0	176.9	0	51.9	0		8	0.03	0	0.000120	0	2.72	0	7.8417	0	7.5374	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		346.00	0	1.9610	0	34.6660	0	27.707	0	176.7	0	51.8	0		8	0.03	0	0.000115	0	2.71	0	7.8411	0	7.5368	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		344.00	0	1.9620	0	34.6650	0	27.706	0	176.5	0	51.7	0		8	0.04	0	0.000118	0	2.73	0	7.8402	0	7.5359	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		342.00	0	1.9620	0	34.6650	0	27.706	0	176.3	0	51.7	0	36.40	0	0.04	0	0.000115	0	2.72	0	7.8399	0	7.5355	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		340.00	0	1.9620	0	34.6640	0	27.706	0	176.2	0	51.7	0		8	0.04	0	0.000116	0	2.72	0	7.8402	0	7.5357	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		338.00	0	1.9610	0	34.6640	0	27.706	0	176.0	0	51.6	0		8	0.04	0	0.000119	0	2.72	0	7.8393	0	7.5349	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		336.00	0	1.9610	0	34.6630	0	27.705	0	175.9	0	51.6	0		8	0.04	0	0.000116	0	2.72	0	7.8396	0	7.5350	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		334.00	0	1.9610	0	34.6630	0	27.705	0	175.9	0	51.6	0		8	0.04	0	0.000123	0	2.72	0	7.8388	0	7.5343	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		331.90	0	1.9610	0	34.6620	0	27.704	0	175.7	0	51.5	0	36.50	0	0.04	0	0.000116	0	2.68	0	7.8378	0	7.5333	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		330.00	0	1.9610	0	34.6610	0	27.703	0	175.6	0	51.5	0		8	0.04	0	0.000136	0	2.73	0	7.8378	0	7.5332	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		328.00	0	1.9620	0	34.6590	0	27.702	0	175.4	0	51.4	0		8	0.03	0	0.000115	0	2.72	0	7.8367	0	7.5321	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		326.00	0	1.9600	0	34.6580	0	27.701	0	175.3	0	51.4	0		8	0.04	0	0.000116	0	2.72	0	7.8356	0	7.5311	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		324.00	0	1.9600	0	34.6570	0	27.700	0	175.1	0	51.3	0		8	0.03	0	0.000115	0	2.73	0	7.8350	0	7.5304	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		322.00	0	1.9600	0	34.6560	0	27.699	0	174.9	0	51.3	0		8	0.03	0	0.000117	0	2.72	0	7.8347	0	7.5301	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		320.00	0	1.9590	0	34.6550	0	27.699	0	174.8	0	51.3	0	36.70	0	0.08	0	0.000310	0	2.71	0	7.8331	0	7.5286	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		318.00	0	1.9590	0	34.6540	0	27.698	0	174.7	0	51.2	0		8	0.04	0	0.000119	0	2.72	0	7.8327	0	7.5281	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		316.00	0	1.9590	0	34.6540	0	27.698	0	174.6	0	51.2	0		8	0.04	0	0.000116	0	2.71	0	7.8326	0	7.5280	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		314.00	0	1.9590	0	34.6540	0	27.698	0	174.5	0	51.2	0		8	0.04	0	0.000113	0	2.71	0	7.8326	0	7.5279	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		312.00	0	1.9610	0	34.6530	0	27.697	0	174.3	0	51.1	0	36.80	0	0.04	0	0.000119	0	2.72	0	7.8312	0	7.5266	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		310.00	0	1.9610	0	34.6520	0	27.696	0	174.3	0	51.1	0		8	0.04	0	0.000118	0	2.71	0	7.8314	0	7.5267	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		308.00	0	1.9620	0	34.6520	0	27.696	0	174.1	0	51.1	0		8	0.04	0	0.000118	0	2.69	0	7.8308	0	7.5261	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		306.00	0	1.9620	0	34.6510	0	27.695	0	174.0	0	51.0	0		8	0.04	0	0.000116	0	2.73	0	7.8306	0	7.5258	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		304.00	0	1.9620	0	34.6500	0	27.694	0	173.9	0	51.0	0		8	0.04	0	0.000117	0	2.72	0	7.8296	0	7.5249	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		302.00	0	1.9600	0	34.6490	0	27.694	0	173.8	0	51.0	0	36.90	0	0.04	0	0.000116	0	2.72	0	7.8291	0	7.5243	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		300.00	0	1.9590	0	34.6480	0	27.693	0	173.7	0	50.9	0		8	0.04	0	0.000119	0	2.70	0	7.8285	0	7.5237	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		298.00	0	1.9580	0	34.6470	0	27.692	0	173.5	0	50.9	0		8	0.04	0	0.000119	0	2.72	0	7.8278	0	7.5230	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		296.00	0	1.9590	0	34.6460	0	27.691	0	173.4	0	50.8	0		8	0.04	0	0.000118	0	2.71	0	7.8275	0	7.5226	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		294.00	0	1.9610	0	34.6460	0	27.691	0	173.3	0	50.8	0		8	0.04	0	0.000115	0	2.72	0	7.8266	0	7.5217	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		292.00	0	1.9610	0	34.6450	0	27.690	0	173.2	0	50.8	0	37.10	0	0.04	0	0.000117	0	2.72	0	7.8266	0	7.5216	0
0564SoOcn	1	C	02/23/2016	12:39	82.466	-63.497		290.00	0	1.9600	0	34.6440	0	27.690	0	173.1	0	50.7	0		8	0.04	0	0.000116	0	2.72	0	7.8265	0	7.5215	0
