//0																									
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		  1499.28	0	  1.5265	0	34.7350	0	27.775	0	175.6	0	50.9	0	27.99	0	0.04	0	0.000097	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		  1398.98	0	  1.6210	0	34.7363	0	27.768	0	173.6	0	50.5	0	27.98	0	0.04	0	0.000095	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		  1299.15	0	  1.7036	0	34.7367	0	27.761	0	171.8	0	50.0	0	28.13	0	0.04	0	0.000099	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		  1199.20	0	  1.7745	0	34.7362	0	27.755	0	170.5	0	49.8	0	28.08	0	0.04	0	0.000101	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		  1098.75	0	  1.8537	0	34.7336	0	27.746	0	168.9	0	49.4	0	28.21	0	0.04	0	0.000102	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   999.31	0	  1.9263	0	34.7289	0	27.735	0	167.0	0	48.9	0	28.43	0	0.04	0	0.000102	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   951.77	0	  1.9696	0	34.7253	0	27.728	0	165.6	0	48.6	0	28.47	0	0.04	0	0.000108	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   901.37	0	  2.0063	0	34.7206	0	27.721	0	164.4	0	48.3	0	28.86	0	0.05	0	0.000106	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   850.85	0	  2.0406	0	34.7096	0	27.709	0	161.8	0	47.5	0	29.17	0	0.04	0	0.000104	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   800.96	0	  2.0749	0	34.7021	0	27.7	0	160.6	0	47.2	0	29.48	0	0.04	0	0.000115	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   751.10	0	  2.1097	0	34.6956	0	27.691	0	159.7	0	47.0	0	29.63	0	0.04	0	0.000113	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   700.93	0	  2.1248	0	34.6851	0	27.681	0	158.2	0	46.6	0	29.96	0	0.04	0	0.000118	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   650.92	0	  2.1483	0	34.6760	0	27.672	0	157.2	0	46.3	0	30.14	0	0.05	0	0.000119	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   601.67	0	  2.1729	0	34.6620	0	27.658	0	155.9	0	45.9	0	30.48	0	0.04	0	0.000113	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   551.14	0	  2.2249	0	34.6458	0	27.64	0	154.9	0	45.7	0	30.70	0	0.04	0	0.000120	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   501.36	0	  2.2397	0	34.6262	0	27.623	0	153.8	0	45.4	0	31.26	0	0.04	0	0.000129	0
7557SoOcn	 1	C	03/28/2014	18:30	184.128	-63.456		   451.20	0	  2.2936	0	34.6102	0	27.605	0	153.6	0	45.4	0	31.37	0	0.04	0	0.000119	0
