//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1498.59	0	2.3114	0	34.7403	0	27.709	0	193.3	0	57.2	0	31.5	8	0.03	0	0.000093	0	7.733	0	7.4804	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1399.13	0	2.3347	0	34.7238	0	27.693	0	186.2	0	55.1	0	32.34	8	0.02	0	0.000092	0	7.728	0	7.4728	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1299.73	0	2.4001	0	34.7086	0	27.675	0	182.5	0	54.1	0	32.73	8	0.01	0	0.000093	0	7.7257	0	7.4683	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1198.95	0	2.4603	0	34.6853	0	27.65	0	178.6	0	53	0	33.46	8	0.02	0	0.000123	0	7.7191	0	7.4598	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1099.05	0	2.4851	0	34.6548	0	27.623	0	174.8	0	51.9	0	34.36	8	0.01	0	0.000097	0	7.7127	0	7.4509	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		999.15	0	2.5116	0	34.6235	0	27.595	0	172.2	0	51.2	0	35.09	8	0.01	0	0.000097	0	7.7068	0	7.4427	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		951.39	0	2.4742	0	34.5907	0	27.572	0	169.5	0	50.3	0	35.86	8	0.01	0	0.000102	0	7.693	0	7.4279	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		901.35	0	2.4883	0	34.5699	0	27.553	0	169.2	0	50.2	0	36.12	8	0.02	0	0.000105	0	7.6899	0	7.4236	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		851.07	0	2.5074	0	34.5474	0	27.533	0	169.4	0	50.3	0	36.39	8	0.02	0	0.000107	0	7.6883	0	7.4208	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		801.37	0	2.5183	0	34.532	0	27.52	0	170.1	0	50.5	0	36.54	8	0	0	0.00014	0	7.6894	0	7.4203	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		751.6	0	2.594	0	34.5161	0	27.499	0	171.1	0	50.9	0	36.4	8	0.01	0	0.000107	0	7.6921	0	7.4222	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		701.44	0	2.6305	0	34.4931	0	27.477	0	173	0	51.5	0	36.61	8	0.01	0	0.000098	0	7.6939	0	7.4227	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		651.02	0	2.6195	0	34.4576	0	27.449	0	175.6	0	52.2	0	36.84	8	0.01	0	0.000097	0	7.6916	0	7.4188	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		601.5	0	2.6277	0	34.4174	0	27.416	0	180.1	0	53.6	0	37.03	8	0.03	0	0.000155	0	7.6934	0	7.419	0
