//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1599.22	0	0.6645	0	34.6907	0	27.81	0	209.9	0	59.5	0	35.51	8	0.01	0	0.000083	0	7.6096	4	7.348	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1498.92	0	0.7165	0	34.6922	0	27.807	0	207.9	0	59	0	35.61	8	0.01	0	0.000081	0	7.6127	4	7.3482	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1398.57	0	0.798	0	34.6959	0	27.804	0	206.3	0	58.7	0	35.57	8	0.01	0	0.000083	0	7.618	4	7.3509	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1299.41	0	0.8791	0	34.6987	0	27.8	0	205.5	0	58.6	0	35.48	8	0.01	0	0.000084	0	7.6204	4	7.3509	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1199.77	0	0.9692	0	34.7032	0	27.796	0	203.8	0	58.2	0	35.41	8	0.01	0	0.000084	0	7.6234	4	7.3516	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1098.96	0	1.0591	0	34.7057	0	27.791	0	202.3	0	57.9	0	35.25	8	0.01	0	0.000089	0	7.6275	4	7.3533	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		997.79	0	1.166	0	34.7069	0	27.783	0	200.3	0	57.6	0	35.22	8	0.02	0	0.000084	0	7.6306	4	7.3543	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		950.68	0	1.2298	0	34.7087	0	27.779	0	199.2	0	57.3	0	35.23	8	0.01	0	0.000083	0	7.6265	4	7.3499	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		901.05	0	1.2963	0	34.7095	0	27.774	0	197.9	0	57	0	35.13	8	0.01	0	0.000086	0	7.6276	4	7.3501	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		851.12	0	1.3643	0	34.7101	0	27.769	0	196.5	0	56.7	0	35.16	8	0.02	0	0.000086	0	7.6266	4	7.3485	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		800.65	0	1.4247	0	34.7099	0	27.764	0	194.6	0	56.3	0	35.37	8	0.02	0	0.000089	0	7.6264	4	7.3475	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		750.87	0	1.4885	0	34.7089	0	27.757	0	192.1	0	55.6	0	35.53	8	0.01	0	0.000115	0	7.6225	4	7.3432	4
