//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1797.97	0	0.1295	0	34.6729	0	27.836	0	223.7	0	62.5	0	49.61	0	0	0	0.000075	0	7.7853	8	7.5083	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1698.31	0	0.1631	0	34.674	0	27.835	0	217.8	0	61	0	49.92	0	0	0	0.000075	0	7.7819	8	7.5023	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1598.68	0	0.2014	0	34.6759	0	27.833	0	215.9	0	60.5	0	49.69	0	0	0	0.000075	0	7.7843	8	7.5017	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1499.76	0	0.2438	0	34.6783	0	27.832	0	213.9	0	60	0	49.8	0	0	0	0.000075	0	7.7864	8	7.5011	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1399.34	0	0.2855	0	34.6801	0	27.831	0	212	0	59.5	0	49.81	0	0.01	0	0.000077	0	7.7885	8	7.5002	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1299.2	0	0.3301	0	34.6821	0	27.829	0	210.4	0	59.1	0	49.66	0	-0.01	0	0.000077	0	7.7912	8	7.5	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1199.2	0	0.3748	0	34.6842	0	27.827	0	208.6	0	58.7	0	49.83	0	0	0	0.000075	0	7.7941	8	7.5	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1098.33	0	0.4245	0	34.686	0	27.825	0	207.5	0	58.5	0	49.8	0	0	0	0.000077	0	7.7977	8	7.5007	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		999.37	0	0.4667	0	34.6878	0	27.823	0	206.5	0	58.3	0	49.84	0	0	0	0.000078	0	7.801	8	7.501	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		949.64	0	0.4867	0	34.6895	0	27.823	0	205.9	0	58.1	0	49.75	0	0.01	0	0.000078	0	7.7763	8	7.477	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		901.59	0	0.5084	0	34.6902	0	27.822	0	205	0	57.9	0	49.68	0	0	0	0.000075	0	7.7792	8	7.4784	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		851.36	0	0.5379	0	34.691	0	27.82	0	204.5	0	57.8	0	49.64	0	0	0	0.00008	0	7.7826	8	7.4802	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		801.64	0	0.5636	0	34.6916	0	27.819	0	204.2	0	57.7	0	49.43	0	0	0	0.00008	0	7.7859	8	7.482	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		751.67	0	0.5943	0	34.6933	0	27.818	0	203.8	0	57.7	0	49.65	0	0	0	0.00008	0	7.7909	8	7.4854	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		701.44	0	0.6222	0	34.6941	0	27.816	0	203.4	0	57.6	0	49.34	0	0	0	0.000077	0	7.7934	8	7.4864	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		650.91	0	0.6531	0	34.6953	0	27.815	0	203.1	0	57.6	0	49.18	0	0	0	0.000078	0	7.7974	8	7.4888	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		600.95	0	0.6954	0	34.6969	0	27.813	0	202.9	0	57.6	0	49.31	0	0	0	0.000078	0	7.8008	8	7.4909	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		551.38	0	0.7302	0	34.6973	0	27.81	0	202.4	0	57.5	0	49.2	0	0.01	0	0.000085	0	7.8036	8	7.4923	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		500.99	0	0.7633	0	34.6981	0	27.809	0	201.7	0	57.3	0	49.08	0	0.02	0	0.00008	0	7.8044	8	7.4918	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		451.02	0	0.7894	0	34.6975	0	27.806	0	201.3	0	57.3	0	49.09	0	-0.01	0	0.00008	0	7.8061	8	7.4921	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		400.93	0	0.8168	0	34.6965	0	27.803	0	200.9	0	57.2	0	49.15	0	0	0	0.000082	0	7.8068	8	7.4914	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		381.58	0	0.834	0	34.6979	0	27.803	0	200.6	0	57.1	0	49.17	0	0	0	0.00008	0	7.8081	8	7.4922	8
