//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		968.00	0	1.1690	0	34.7070	0	27.799	0	211.7	0	60.9	0		8	0.03	0	0.000096	0	2.97	0	7.8397	0	7.5450	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		966.00	0	1.1700	0	34.7070	0	27.798	0	211.7	0	60.9	0		8	0.03	0	0.000182	0	2.98	0	7.8393	0	7.5446	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		964.00	0	1.1710	0	34.7070	0	27.798	0	211.7	0	60.9	0		8	0.03	0	0.000100	0	2.96	0	7.8382	0	7.5436	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		962.00	0	1.1770	0	34.7070	0	27.798	0	211.6	0	60.9	0		8	0.03	0	0.000098	0	2.96	0	7.8375	0	7.5429	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		960.00	0	1.1860	0	34.7070	0	27.797	0	211.5	0	60.8	0		8	0.03	0	0.000098	0	2.94	0	7.8369	0	7.5424	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		958.00	0	1.1870	0	34.7070	0	27.797	0	211.5	0	60.8	0		8	0.04	0	0.000110	0	2.96	0	7.8366	0	7.5421	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		956.00	0	1.1870	0	34.7070	0	27.797	0	211.4	0	60.8	0		8	0.03	0	0.000106	0	2.94	0	7.8363	0	7.5418	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		954.00	0	1.1880	0	34.7070	0	27.797	0	211.4	0	60.8	0		8	0.03	0	0.000100	0	2.96	0	7.8360	0	7.5414	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		952.00	0	1.1910	0	34.7070	0	27.797	0	211.4	0	60.8	0	35.10	0	0.03	0	0.000111	0	2.95	0	7.8358	0	7.5412	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		950.00	0	1.1920	0	34.7070	0	27.797	0	211.4	0	60.8	0		8	0.03	0	0.000100	0	2.95	0	7.8352	0	7.5406	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		948.00	0	1.1930	0	34.7070	0	27.797	0	211.3	0	60.8	0		8	0.04	0	0.000133	0	2.94	0	7.8351	0	7.5405	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		946.00	0	1.1940	0	34.7070	0	27.797	0	211.3	0	60.8	0		8	0.03	0	0.000100	0	2.93	0	7.8353	0	7.5406	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		944.00	0	1.1960	0	34.7070	0	27.797	0	211.3	0	60.8	0		8	0.03	0	0.000105	0	2.96	0	7.8353	0	7.5406	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		942.00	0	1.1940	0	34.7070	0	27.797	0	211.3	0	60.8	0		8	0.03	0	0.000099	0	2.94	0	7.8346	0	7.5398	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		940.00	0	1.1950	0	34.7070	0	27.797	0	211.2	0	60.8	0		8	0.03	0	0.000106	0	2.95	0	7.8347	0	7.5399	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		938.00	0	1.2040	0	34.7070	0	27.796	0	211.2	0	60.8	0		8	0.03	0	0.000099	0	2.95	0	7.8340	0	7.5393	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		936.00	0	1.2090	0	34.7080	0	27.797	0	211.1	0	60.8	0		8	0.03	0	0.000098	0	2.95	0	7.8340	0	7.5393	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		934.00	0	1.2050	0	34.7080	0	27.797	0	211.1	0	60.8	0		8	0.04	0	0.000118	0	2.95	0	7.8338	0	7.5390	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		932.00	0	1.2090	0	34.7080	0	27.797	0	211.1	0	60.7	0		8	0.03	0	0.000097	0	2.96	0	7.8333	0	7.5386	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		930.00	0	1.2090	0	34.7080	0	27.797	0	211.1	0	60.8	0		8	0.03	0	0.000100	0	2.95	0	7.8335	0	7.5387	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		928.00	0	1.2100	0	34.7080	0	27.797	0	211.0	0	60.7	0		8	0.03	0	0.000098	0	2.96	0	7.8336	0	7.5387	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		926.00	0	1.2140	0	34.7080	0	27.796	0	211.0	0	60.7	0		8	0.03	0	0.000097	0	2.96	0	7.8334	0	7.5385	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		924.00	0	1.2220	0	34.7080	0	27.796	0	211.0	0	60.7	0		8	0.03	0	0.000098	0	2.95	0	7.8333	0	7.5384	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		922.00	0	1.2270	0	34.7080	0	27.795	0	210.8	0	60.7	0		8	0.03	0	0.000102	0	2.94	0	7.8334	0	7.5385	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		920.00	0	1.2340	0	34.7080	0	27.795	0	210.8	0	60.7	0		8	0.03	0	0.000102	0	2.95	0	7.8335	0	7.5386	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		918.00	0	1.2390	0	34.7090	0	27.795	0	210.7	0	60.7	0		8	0.03	0	0.000099	0	2.96	0	7.8330	0	7.5382	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		916.00	0	1.2420	0	34.7080	0	27.794	0	210.6	0	60.7	0		8	0.03	0	0.000102	0	2.95	0	7.8328	0	7.5380	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		914.00	0	1.2620	0	34.7080	0	27.793	0	210.4	0	60.6	0		8	0.03	0	0.000100	0	2.95	0	7.8321	0	7.5375	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		912.00	0	1.2630	0	34.7090	0	27.794	0	210.4	0	60.6	0		8	0.03	0	0.000100	0	2.95	0	7.8316	0	7.5370	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		910.00	0	1.2660	0	34.7090	0	27.793	0	210.3	0	60.6	0		8	0.03	0	0.000101	0	2.95	0	7.8317	0	7.5371	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		908.00	0	1.2680	0	34.7090	0	27.793	0	210.2	0	60.6	0		8	0.03	0	0.000099	0	2.96	0	7.8314	0	7.5368	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		906.00	0	1.2680	0	34.7090	0	27.793	0	210.2	0	60.6	0		8	0.03	0	0.000107	0	2.95	0	7.8318	0	7.5371	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		904.00	0	1.2690	0	34.7090	0	27.793	0	210.3	0	60.6	0		8	0.03	0	0.000098	0	2.96	0	7.8321	0	7.5373	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		902.00	0	1.2690	0	34.7090	0	27.793	0	210.2	0	60.6	0	35.00	0	0.03	0	0.000102	0	2.95	0	7.8320	0	7.5372	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		900.00	0	1.2590	0	34.7100	0	27.795	0	210.2	0	60.6	0		8	0.04	0	0.000108	0	2.97	0	7.8320	0	7.5369	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		898.00	0	1.2690	0	34.7090	0	27.793	0	210.1	0	60.6	0		8	0.04	0	0.000108	0	2.93	0	7.8320	0	7.5370	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		896.00	0	1.2660	0	34.7090	0	27.793	0	210.2	0	60.6	0		8	0.03	0	0.000099	0	2.96	0	7.8319	0	7.5369	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		894.00	0	1.2650	0	34.7090	0	27.793	0	210.2	0	60.6	0		8	0.03	0	0.000106	0	2.93	0	7.8321	0	7.5369	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		892.00	0	1.2660	0	34.7090	0	27.793	0	210.1	0	60.6	0		8	0.03	0	0.000103	0	2.96	0	7.8327	0	7.5374	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		890.00	0	1.2660	0	34.7090	0	27.793	0	210.2	0	60.6	0		8	0.04	0	0.000163	0	2.95	0	7.8323	0	7.5370	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		888.00	0	1.2650	0	34.7090	0	27.793	0	210.2	0	60.6	0		8	0.03	0	0.000097	0	2.96	0	7.8324	0	7.5370	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		886.00	0	1.2670	0	34.7090	0	27.793	0	210.2	0	60.6	0		8	0.03	0	0.000100	0	2.96	0	7.8325	0	7.5371	0
