//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		1598.67	0	2.8813	0	34.5093	0	27.465	0	144.1	0	43.2	0	36.94	0	0.01	0	0.000098	0	7.8107	4	7.5627	4
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		1498.62	0	3.0423	0	34.4652	0	27.413	0	148.4	0	44.6	0	36.79	0	0.01	0	0.000111	0	7.8097	4	7.5607	4
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		1399.08	0	3.2415	0	34.4196	0	27.356	0	155	0	46.8	0	36.36	0	0.02	0	0.0001	0	7.8166	4	7.5665	4
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		1298.9	0	3.6071	0	34.3689	0	27.276	0	162.7	0	49.6	0	35.48	0	0.01	0	0.000104	0	24.626	8	22.9756	8
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		1199.63	0	4.0518	0	34.3401	0	27.203	0	168.8	0	52	0	34.41	0	0.01	0	0.000101	0	7.8433	4	7.5957	4
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		1099.08	0	4.6211	0	34.3203	0	27.122	0	174.5	0	54.5	0	33.01	0	0.01	0	0.000101	0	7.8604	4	7.616	4
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		999.21	0	5.1653	0	34.3125	0	27.05	0	180.7	0	57.2	0	31.41	0	0.01	0	0.0001	0	7.8773	4	7.6358	4
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		951.64	0	5.4419	0	34.3114	0	27.015	0	184.8	0	58.8	0	30.41	0	0.01	0	0.000098	0	7.881	4	7.6415	4
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		901.62	0	5.7005	0	34.3113	0	26.983	0	190.1	0	60.9	0	29.34	0	0.01	0	0.0001	0	7.8952	4	7.6565	4
9254SoOcn	1	C	04/21/2014	18:56	209.986	-39.695		851.17	0	5.9973	0	34.3152	0	26.947	0	195.8	0	63.2	0	28.14	0	0.01	0	0.000101	0	7.9076	4	7.6703	4
