//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9094SoOcn	1	C	12/21/2014	12:49				1598.5	0	0.208	0	34.6732	0	27.831	0	215.4	0	60.3	0	34.43	0	0	0	0.000083	0	7.7172	0	7.4404	0
9094SoOcn	1	C	12/21/2014	12:49				1498.56	0	0.2481	0	34.6751	0	27.829	0	211.8	0	59.4	0	34.43	0	0.01	0	0.000082	0	7.7151	0	7.4357	0
9094SoOcn	1	C	12/21/2014	12:49				1399.09	0	0.2927	0	34.6775	0	27.828	0	209	0	58.7	0	34.58	0	0	0	0.000083	0	7.7161	0	7.434	0
9094SoOcn	1	C	12/21/2014	12:49				1299.23	0	0.3378	0	34.679	0	27.826	0	205.8	0	57.8	0	34.71	0	0.01	0	0.000085	0	7.7149	0	7.4302	0
9094SoOcn	1	C	12/21/2014	12:49				1199.4	0	0.3821	0	34.6809	0	27.824	0	204.3	0	57.5	0	34.84	0	0.01	0	0.000085	0	7.7166	0	7.4291	0
9094SoOcn	1	C	12/21/2014	12:49				1099.57	0	0.4263	0	34.6827	0	27.822	0	201.7	0	56.8	0	34.9	0	0.01	0	0.000085	0	7.7163	0	7.4261	0
9094SoOcn	1	C	12/21/2014	12:49				1000.02	0	0.4679	0	34.6844	0	27.82	0	200.2	0	56.5	0	35.04	0	0.01	0	0.000087	0	7.7171	0	7.4242	0
9094SoOcn	1	C	12/21/2014	12:49				950.8	0	0.4909	0	34.6853	0	27.819	0	200.4	0	56.6	0	34.9	0	0	0	0.000085	0	7.7155	0	7.4213	0
9094SoOcn	1	C	12/21/2014	12:49				901.23	0	0.5178	0	34.6861	0	27.818	0	200.2	0	56.6	0	34.82	0	0	0	0.000087	0	7.7167	0	7.4212	0
9094SoOcn	1	C	12/21/2014	12:49				851.35	0	0.5428	0	34.6864	0	27.816	0	199.8	0	56.5	0	35	0	0.01	0	0.000085	0	7.7181	0	7.4212	0
