//0																									
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1697.99	0	3.0276	0	34.4479	0	27.401	0	166.4	0	50	0		8	7.6531	8	7.4235	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1599.76	0	3.1217	0	34.4281	0	27.375	0	167.8	0	50.5	0		8	7.6577	8	7.4258	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1499.28	0	3.2272	0	34.4073	0	27.347	0	170.4	0	51.5	0		8	7.6634	8	7.4292	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1399.29	0	3.3662	0	34.3885	0	27.317	0	173.2	0	52.5	0		8	7.6724	8	7.4361	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1298.68	0	3.6416	0	34.36	0	27.265	0	177.2	0	54.1	0		8	7.6831	8	7.4464	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1199.19	0	4.0892	0	34.3282	0	27.189	0	183.9	0	56.7	0		8	7.699	8	7.464	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1098.68	0	4.7669	0	34.3095	0	27.096	0	189.8	0	59.5	0		8	7.7153	8	7.485	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		999.48	0	5.4089	0	34.3072	0	27.016	0	197.4	0	62.8	0		8	7.7353	8	7.5091	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		950.57	0	5.7773	0	34.3089	0	26.971	0	202.8	0	65.1	0		8	7.7071	8	7.4867	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		901.64	0	6.0848	0	34.3138	0	26.935	0	208.7	0	67.5	0		8	7.7226	8	7.5037	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		851.59	0	6.3283	0	34.3227	0	26.91	0	213.8	0	69.5	0		8	7.7345	8	7.5164	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		801.36	0	6.5817	0	34.3353	0	26.886	0	218.4	0	71.5	0		8	7.7467	8	7.5295	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		751.32	0	6.8474	0	34.3523	0	26.864	0	223.2	0	73.5	0		8	7.7592	8	7.5431	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		700.92	0	7.0678	0	34.3689	0	26.847	0	226.5	0	75	0		8	7.7679	8	7.5525	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		651.5	0	7.2237	0	34.3795	0	26.834	0	228.2	0	75.8	0		8	7.7737	8	7.5583	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		600.94	0	7.3685	0	34.3902	0	26.822	0	231.3	0	77.1	0		8	7.7834	8	7.5676	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		551.32	0	7.5313	0	34.4048	0	26.811	0	232.9	0	77.9	0		8	7.7937	8	7.5777	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		501.45	0	7.7713	0	34.4292	0	26.796	0	235.5	0	79.2	0		8	7.8052	8	7.5901	8
