//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1599.19	0	2.7609	0	34.5474	0	27.509	0	163.6	0	48.9	0	24.17	0	0.01	0	0.000085	0	7.6515	0	7.4151	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1499.27	0	2.9109	0	34.4943	0	27.45	0	166.2	0	49.8	0	24.24	0	-0.01	0	0.000084	0	7.6518	0	7.4142	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1399.46	0	3.4849	0	34.5081	0	27.402	0	156.3	0	47.5	0	23.73	0	0	0	0.000088	0	7.6644	0	7.4304	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1299.51	0	3.78	0	34.4792	0	27.347	0	160.1	0	49	0	23.03	0	0.01	0	0.000085	0	7.6739	0	7.4399	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1199.13	0	4.3386	0	34.4525	0	27.263	0	165.8	0	51.5	0	21.84	0	0	0	0.000086	0	7.686	0	7.4555	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1099.32	0	4.6964	0	34.4331	0	27.206	0	171.1	0	53.6	0	21.05	0	0.01	0	0.000094	0	7.696	0	7.4663	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		998.85	0	5.3092	0	34.4153	0	27.117	0	178.3	0	56.6	0	19.48	0	0	0	0.000091	0	7.7081	0	7.4827	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		950.93	0	5.6538	0	34.41	0	27.07	0	184.2	0	59	0	18.62	0	-0.01	0	0.000089	0	7.7166	0	7.4937	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		901.77	0	6.157	0	34.4449	0	27.034	0	180	0	58.3	0	17.56	0	0	0	0.000091	0	7.722	0	7.5042	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		851.11	0	6.653	0	34.4627	0	26.982	0	182.5	0	59.9	0	16.17	0	-0.01	0	0.000097	0	7.7309	0	7.5177	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		800.9	0	7.1678	0	34.492	0	26.935	0	183.9	0	61.1	0	14.93	0	0	0	0.000089	0	7.7393	0	7.531	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		750.88	0	7.5102	0	34.5075	0	26.899	0	188.2	0	63	0	13.7	0	-0.01	0	0.000091	0	7.7476	0	7.5418	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		701.66	0	7.894	0	34.5356	0	26.866	0	191	0	64.5	0	12.49	0	0	0	0.000089	0	7.7578	0	7.555	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		651.24	0	8.3028	0	34.5676	0	26.831	0	197.3	0	67.2	0	10.74	0	-0.01	0	0.000097	0	7.7727	0	7.5728	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		601.42	0	8.5916	0	34.5797	0	26.797	0	211.5	0	72.6	0	9.26	0	-0.02	0	0.000095	0	7.787	0	7.5883	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		551.57	0	8.7531	0	34.5791	0	26.771	0	222.1	0	76.5	0	7.41	0	-0.01	0	0.000089	0	7.8106	0	7.6107	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		501.3	0	8.9231	0	34.5999	0	26.762	0	230	0	79.5	0	6.03	0	-0.01	0	0.000088	0	7.8261	0	7.6256	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		451.47	0	8.9977	0	34.5975	0	26.748	0	243	0	84.1	0	5.22	0	-0.02	0	0.000101	0	7.8361	0	7.6343	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		401.27	0	9.098	0	34.6091	0	26.742	0	243.2	0	84.4	0	4.96	0	-0.02	0	0.000106	0	7.8362	0	7.6341	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		381.34	0	9.105	0	34.6043	0	26.737	0	243	0	84.4	0	4.94	0	-0.01	0	0.000098	0	7.8378	0	7.6351	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		360.84	0	9.272	0	34.6252	0	26.728	0	239.2	0	83.3	0	4.86	0	0	0	0.000098	0	7.8358	0	7.635	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		351.42	0	9.3002	0	34.6286	0	26.726	0	238.9	0	83.3	0	4.87	0	-0.01	0	0.000106	0	7.8373	0	7.6364	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		341.01	0	9.3882	0	34.6373	0	26.719	0	238.9	0	83.5	0	4.7	0	-0.01	0	0.000098	0	7.8382	0	7.6381	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		331.73	0	9.6528	0	34.6821	0	26.713	0	235.3	0	82.7	0	4.5	0	-0.01	0	0.0001	0	7.8361	0	7.6397	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		321.42	0	9.8002	0	34.7098	0	26.712	0	232.3	0	81.9	0	4.37	0	0.01	0	0.000101	0	7.8339	0	7.6395	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		311.08	0	10.0419	0	34.7627	0	26.716	0	228.7	0	81.1	0	3.83	0	-0.01	0	0.000098	0	7.8353	0	7.6439	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		301.61	0	10.2722	0	34.7955	0	26.704	0	226.9	0	80.9	0	3.27	0	0	0	0.000103	0	7.8381	0	7.6494	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		291.21	0	10.449	0	34.8295	0	26.702	0	226.7	0	81.2	0	2.52	0	-0.01	0	0.000097	0	7.8426	0	7.6558	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		281.45	0	10.6093	0	34.8591	0	26.699	0	228.2	0	82	0	1.85	0	-0.01	0	0.000095	0	7.8481	0	7.6628	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		270.88	0	10.7379	0	34.8829	0	26.697	0	230.3	0	83	0	1.3	0	-0.01	0	0.000111	0	7.853	0	7.6688	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		261.39	0	11.0865	0	34.936	0	26.68	0	225.9	0	82	0	1.08	0	0	0	0.000097	0	7.8494	0	7.6702	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		250.8	0	11.2555	0	34.9653	0	26.674	0	225.8	0	82.3	0	0.68	0	0	0	0.000097	0	7.8518	0	7.6745	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		241.28	0	11.302	0	34.9725	0	26.672	0	224.4	0	81.9	0	0.88	0	0.01	0	0.000104	0	7.8507	0	7.6739	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		231.13	0	11.5186	0	35.0013	0	26.657	0	219.4	0	80.4	0	0.74	0	0	0	0.000103	0	7.849	0	7.6752	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		220.93	0	11.5963	0	35.0143	0	26.654	0	217.6	0	79.9	0	0.64	0	0	0	0.000101	0	7.8505	0	7.6773	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		210.99	0	11.8121	0	35.0472	0	26.642	0	215.6	0	79.6	0	0.09	0	0.01	0	0.000103	0	7.8515	0	7.681	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		201.12	0	11.9534	0	35.0696	0	26.634	0	214.3	0	79.3	0	-0.03	0	0	0	0.0001	0	7.8546	0	7.6856	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		191.45	0	12.0951	0	35.089	0	26.624	0	213.1	0	79.2	0	-0.12	0	0	0	0.00011	0	7.8543	0	7.6871	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		181.28	0	12.167	0	35.0876	0	26.609	0	211.6	0	78.7	0	0.04	0	-0.01	0	0.000117	0	7.8512	0	7.685	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		168.67	0	12.2786	0	35.0894	0	26.59	0	208.9	0	77.9	0	-0.23	0	-0.01	0	0.00011	0	7.855	0	7.6897	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		159.61	0	12.4812	0	35.1201	0	26.577	0	207.6	0	77.8	0	-0.41	0	0	0	0.000107	0	7.8573	0	7.6944	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		150.77	0	12.8	0	35.1566	0	26.547	0	204	0	76.9	0	-1.31	0	0.01	0	0.000107	0	7.8696	0	7.71	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		140.95	0	12.907	0	35.1228	0	26.497	0	212.5	0	80.3	0	-4.17	0	0.17	0	0.000135	0	7.9097	0	7.748	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		130.96	0	12.9587	0	35.0929	0	26.462	0	228.1	0	86.2	0	-5	0	0.42	0	0.000157	0	7.9167	0	7.7549	0
