//0																									
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		  1898.33	0	  1.9084	0	34.7383	0	27.744	0	164.7	0	48.1	0		8	0.01	0	0.000095	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		  1798.52	0	  1.9848	0	34.7348	0	27.735	0	162.4	0	47.5	0		8	0.01	0	0.000093	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		  1699.86	0	  2.0465	0	34.7289	0	27.724	0	160.6	0	47.0	0		8	0.02	0	0.000096	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		  1599.10	0	  2.1421	0	34.7164	0	27.705	0	157.9	0	46.3	0		8	0.02	0	0.000097	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		  1499.27	0	  2.2055	0	34.6992	0	27.685	0	155.1	0	45.6	0		8	0.02	0	0.000105	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		  1399.66	0	  2.2502	0	34.6850	0	27.67	0	153.4	0	45.1	0		8	0.04	0	0.000106	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		  1298.88	0	  2.3148	0	34.6655	0	27.648	0	151.9	0	44.8	0		8	0.01	0	0.000102	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		  1199.51	0	  2.3947	0	34.6362	0	27.616	0	150.3	0	44.4	0		8	0.02	0	0.000106	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		  1099.64	0	  2.4368	0	34.6084	0	27.59	0	149.5	0	44.2	0		8	0.02	0	0.000119	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   998.60	0	  2.4936	0	34.5691	0	27.552	0	149.6	0	44.3	0		8	0.01	0	0.000107	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   951.68	0	  2.5239	0	34.5523	0	27.536	0	150.0	0	44.4	0		8	0.03	0	0.000102	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   901.29	0	  2.5427	0	34.5322	0	27.517	0	150.8	0	44.7	0		8	0.01	0	0.000155	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   851.36	0	  2.5837	0	34.5133	0	27.498	0	152.0	0	45.0	0		8	0.03	0	0.000106	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   800.95	0	  2.6130	0	34.4777	0	27.466	0	154.1	0	45.7	0		8	0.02	0	0.000105	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   751.32	0	  2.5612	0	34.4296	0	27.432	0	159.4	0	47.2	0		8	0.02	0	0.000114	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   701.04	0	  2.6451	0	34.3924	0	27.393	0	163.7	0	48.5	0		8	0.01	0	0.000123	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   650.65	0	  2.7324	0	34.3642	0	27.362	0	167.6	0	49.8	0		8	0.01	0	0.000127	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   601.67	0	  2.8249	0	34.3529	0	27.343	0	169.4	0	50.4	0		8	0.01	0	0.000113	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   551.10	0	  2.8260	0	34.3155	0	27.313	0	176.6	0	52.6	0		8	0.02	0	0.000114	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   500.84	0	  3.0182	0	34.2904	0	27.273	0	180.2	0	53.9	0		8	0.01	0	0.000119	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   450.80	0	  3.2028	0	34.2661	0	27.234	0	186.5	0	56.0	0		8	0.03	0	0.000119	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   401.34	0	  3.4622	0	34.2477	0	27.192	0	190.4	0	57.6	0		8	0.01	0	0.000134	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   381.52	0	  3.4149	0	34.2252	0	27.178	0	196.0	0	59.2	0		8	0.01	0	0.000134	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   361.33	0	  3.1729	0	34.1564	0	27.148	0	209.3	0	62.8	0		8	0.01	0	0.000127	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   351.41	0	  3.2402	0	34.1504	0	27.136	0	212.6	0	63.9	0		8	0.01	0	0.000130	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   341.30	0	  3.6397	0	34.1799	0	27.117	0	210.3	0	63.9	0		8	0.04	0	0.000174	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   331.00	0	  3.7074	0	34.1904	0	27.119	0	206.2	0	62.7	0		8	0.01	0	0.000203	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   320.88	0	  3.6156	0	34.1708	0	27.112	0	208.1	0	63.1	0		8	0.01	0	0.000131	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   310.62	0	  3.6437	0	34.1580	0	27.099	0	211.7	0	64.3	0		8	0.01	0	0.000138	0
6091SoOcn	 1	C	03/27/2014	05:11	 174.161	-60.053		   301.39	0	  3.6447	0	34.1433	0	27.087	0	215.1	0	65.3	0		8	0.01	0	0.000140	0
