//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		  1798.82	0	  2.5593	0	34.6566	0	27.617	0	152.5	0	45.4	0	32.48	0	7.8396	0	7.5913	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		  1699.35	0	  2.6215	0	34.6251	0	27.586	0	152.5	0	45.4	0	32.72	0	7.8362	0	7.5858	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		  1598.98	0	  2.7097	0	34.5933	0	27.551	0	150.3	0	44.9	0	33.21	0	7.8298	0	7.5779	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		  1498.30	0	  2.8429	0	34.5586	0	27.51	0	147.4	0	44.1	0	33.67	0	7.8270	0	7.5738	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		  1398.82	0	  2.9544	0	34.5265	0	27.472	0	148.2	0	44.5	0	33.75	0	7.8266	0	7.5717	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		  1299.85	0	  3.1259	0	34.4829	0	27.419	0	151.3	0	45.6	0	33.63	0	7.8288	0	7.5729	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		  1199.25	0	  3.3151	0	34.4462	0	27.37	0	155.7	0	47.1	0	33.28	0	7.8349	0	7.5777	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		  1098.96	0	  3.5580	0	34.4087	0	27.313	0	161.5	0	49.2	0	32.63	0	7.8460	0	7.5879	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		   998.73	0	  3.8843	0	34.3767	0	27.252	0	168.4	0	51.7	0	31.78	0	7.8584	0	7.6006	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		   951.27	0	  4.1546	0	34.3795	0	27.224	0	167.6	0	51.8	0	31.17	0	7.8518	0	7.5968	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		   901.35	0	  4.4486	0	34.3685	0	27.182	0	170.4	0	53.0	0	30.47	0	7.8574	0	7.6044	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		   851.59	0	  4.7788	0	34.3680	0	27.143	0	172.2	0	54.0	0	29.76	0	7.8609	0	7.6105	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		   800.84	0	  5.1171	0	34.3744	0	27.107	0	172.8	0	54.6	0	29.10	0	7.8641	0	7.6165	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		   749.85	0	  5.6038	0	34.3885	0	27.058	0	172.5	0	55.2	0	27.98	0	7.8697	0	7.6268	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		   700.93	0	  6.0771	0	34.4087	0	27.014	0	172.5	0	55.8	0	26.88	0	7.8737	0	7.6355	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		   651.29	0	  6.5553	0	34.4317	0	26.97	0	174.2	0	57.0	0	25.70	0	7.8782	0	7.6447	0
9749SoOcn	 1	C	01/13/2016	07:49	  99.470	-39.451		   601.40	0	  7.1045	0	34.4655	0	26.922	0	176.5	0	58.5	0	24.01	0	7.8887	0	7.6604	0
