//0																															
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0511SoOcn	1	C	12/18/2014	16:32				958	0	0.474	0	34.678	0	27.82	0	209.5	0	59.1	0		8	0.02	0	0.000096	0	2.41	0	7.7598	0	7.462	0
0511SoOcn	1	C	12/18/2014	16:32				956	0	0.475	0	34.679	0	27.82	0	209.5	0	59.2	0		8	0.02	0	0.000095	0	2.4	0	7.7595	0	7.4617	0
0511SoOcn	1	C	12/18/2014	16:32				954	0	0.475	0	34.679	0	27.82	0	209.4	0	59.1	0		8	0.02	0	0.000096	0	2.39	0	7.7591	0	7.4613	0
0511SoOcn	1	C	12/18/2014	16:32				952	0	0.475	0	34.679	0	27.82	0	209.4	0	59.1	0	32.1	8	0.02	0	0.000095	0	2.39	0	7.7589	0	7.461	0
0511SoOcn	1	C	12/18/2014	16:32				950	0	0.477	0	34.679	0	27.82	0	209.4	0	59.1	0		8	0.02	0	0.000096	0	2.39	0	7.7582	0	7.4603	0
0511SoOcn	1	C	12/18/2014	16:32				948	0	0.478	0	34.679	0	27.82	0	209.4	0	59.1	0		8	0.02	0	0.000096	0	2.39	0	7.7582	0	7.4603	0
0511SoOcn	1	C	12/18/2014	16:32				946	0	0.478	0	34.679	0	27.82	0	209.4	0	59.1	0		8	0.02	0	0.000095	0	2.43	0	7.7591	0	7.461	0
0511SoOcn	1	C	12/18/2014	16:32				944	0	0.479	0	34.679	0	27.82	0	209.4	0	59.1	0		8	0.02	0	0.000096	0	2.42	0	7.7585	0	7.4604	0
0511SoOcn	1	C	12/18/2014	16:32				942	0	0.479	0	34.679	0	27.82	0	209.3	0	59.1	0		8	0.02	0	0.000095	0	2.42	0	7.7584	0	7.4603	0
0511SoOcn	1	C	12/18/2014	16:32				940	0	0.481	0	34.679	0	27.82	0	209.3	0	59.1	0		8	0.02	0	0.000095	0	2.38	0	7.758	0	7.4599	0
0511SoOcn	1	C	12/18/2014	16:32				938	0	0.482	0	34.679	0	27.82	0	209.2	0	59.1	0		8	0.02	0	0.000096	0	2.4	0	7.7577	0	7.4595	0
0511SoOcn	1	C	12/18/2014	16:32				936	0	0.483	0	34.679	0	27.82	0	209.1	0	59.1	0		8	0.02	0	0.000095	0	2.41	0	7.7578	0	7.4596	0
0511SoOcn	1	C	12/18/2014	16:32				934	0	0.484	0	34.679	0	27.82	0	209.2	0	59.1	0		8	0.02	0	0.000095	0	2.43	0	7.7576	0	7.4594	0
0511SoOcn	1	C	12/18/2014	16:32				932	0	0.485	0	34.679	0	27.82	0	209	0	59	0		8	0.02	0	0.000096	0	2.39	0	7.7574	0	7.4591	0
0511SoOcn	1	C	12/18/2014	16:32				930	0	0.486	0	34.679	0	27.82	0	208.9	0	59	0		8	0.02	0	0.000095	0	2.41	0	7.7573	0	7.459	0
0511SoOcn	1	C	12/18/2014	16:32				928	0	0.487	0	34.679	0	27.82	0	208.9	0	59	0		8	0.02	0	0.000095	0	2.41	0	7.7568	0	7.4584	0
0511SoOcn	1	C	12/18/2014	16:32				926	0	0.487	0	34.679	0	27.82	0	208.8	0	59	0		8	0.02	0	0.000095	0	2.39	0	7.7565	0	7.4581	0
0511SoOcn	1	C	12/18/2014	16:32				924	0	0.488	0	34.679	0	27.82	0	208.7	0	59	0		8	0.02	0	0.000096	0	2.39	0	7.7564	0	7.458	0
0511SoOcn	1	C	12/18/2014	16:32				922	0	0.49	0	34.679	0	27.82	0	208.7	0	59	0		8	0.02	0	0.000095	0	2.41	0	7.7568	0	7.4583	0
0511SoOcn	1	C	12/18/2014	16:32				920	0	0.491	0	34.679	0	27.819	0	208.7	0	58.9	0		8	0.02	0	0.000095	0	2.4	0	7.7561	0	7.4577	0
0511SoOcn	1	C	12/18/2014	16:32				918	0	0.493	0	34.68	0	27.82	0	208.7	0	59	0		8	0.02	0	0.000095	0	2.39	0	7.7566	0	7.458	0
0511SoOcn	1	C	12/18/2014	16:32				916	0	0.494	0	34.68	0	27.82	0	208.6	0	58.9	0		8	0.02	0	0.000095	0	2.4	0	7.7562	0	7.4576	0
0511SoOcn	1	C	12/18/2014	16:32				914	0	0.495	0	34.68	0	27.82	0	208.6	0	58.9	0		8	0.02	0	0.000095	0	2.39	0	7.7568	0	7.4581	0
0511SoOcn	1	C	12/18/2014	16:32				912	0	0.496	0	34.68	0	27.82	0	208.7	0	59	0		8	0.02	0	0.000096	0	2.42	0	7.7561	0	7.4574	0
0511SoOcn	1	C	12/18/2014	16:32				910	0	0.497	0	34.68	0	27.82	0	208.7	0	59	0		8	0.02	0	0.000096	0	2.41	0	7.7563	0	7.4575	0
0511SoOcn	1	C	12/18/2014	16:32				908	0	0.499	0	34.68	0	27.82	0	208.7	0	59	0		8	0.02	0	0.000096	0	2.4	0	7.7568	0	7.458	0
0511SoOcn	1	C	12/18/2014	16:32				906	0	0.499	0	34.68	0	27.82	0	208.7	0	59	0		8	0.02	0	0.000096	0	2.39	0	7.7567	0	7.4578	0
0511SoOcn	1	C	12/18/2014	16:32				904	0	0.5	0	34.68	0	27.82	0	208.7	0	59	0		8	0.02	0	0.000097	0	2.39	0	7.7572	0	7.4582	0
0511SoOcn	1	C	12/18/2014	16:32				902	0	0.5	0	34.68	0	27.82	0	208.8	0	59	0	32	8	0.02	0	0.000096	0	2.41	0	7.7578	0	7.4587	0
0511SoOcn	1	C	12/18/2014	16:32				900	0	0.501	0	34.68	0	27.82	0	208.8	0	59	0		8	0.02	0	0.000096	0	2.4	0	7.7576	0	7.4584	0
0511SoOcn	1	C	12/18/2014	16:32				898	0	0.501	0	34.68	0	27.82	0	208.8	0	59	0		8	0.02	0	0.000097	0	2.39	0	7.7575	0	7.4583	0
0511SoOcn	1	C	12/18/2014	16:32				896	0	0.503	0	34.68	0	27.82	0	208.8	0	59	0		8	0.03	0	0.000095	0	2.4	0	7.7571	0	7.458	0
0511SoOcn	1	C	12/18/2014	16:32				894	0	0.505	0	34.68	0	27.819	0	208.7	0	59	0		8	0.02	0	0.000096	0	2.42	0	7.7572	0	7.458	0
0511SoOcn	1	C	12/18/2014	16:32				892	0	0.506	0	34.68	0	27.819	0	208.7	0	59	0		8	0.03	0	0.000095	0	2.4	0	7.7565	0	7.4573	0
0511SoOcn	1	C	12/18/2014	16:32				890	0	0.506	0	34.68	0	27.819	0	208.7	0	59	0		8	0.02	0	0.000096	0	2.39	0	7.7562	0	7.4569	0
0511SoOcn	1	C	12/18/2014	16:32				888	0	0.507	0	34.68	0	27.819	0	208.7	0	59	0		8	0.02	0	0.000096	0	2.39	0	7.7561	0	7.4568	0
0511SoOcn	1	C	12/18/2014	16:32				886	0	0.509	0	34.68	0	27.819	0	208.6	0	59	0		8	0.02	0	0.000095	0	2.39	0	7.756	0	7.4566	0
