//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		2000.90	0	2.0380	0	34.7710	0	27.785	0	226.2	0	66.5	0	27.00	0	0.02	0	0.000097	0	2.24	0	30.0588	8	27.9567	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1949.40	0	2.0966	0	34.7730	0	27.782	0	204.7	0	60.3	0	26.70	0	0.02	0	0.000100	0	2.24	0	30.0497	8	27.9474	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1899.60	0	2.1232	0	34.7720	0	27.779	0	203.0	0	59.8	0	26.80	0	0.02	0	0.000098	0	2.23	0	30.0381	8	27.9355	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1850.00	0	2.1583	0	34.7700	0	27.775	0	201.8	0	59.5	0	27.00	0	0.02	0	0.000098	0	2.29	0	30.0282	8	27.9253	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1799.30	0	2.1905	0	34.7670	0	27.770	0	199.9	0	59.0	0	27.10	0	0.02	0	0.000100	0	2.24	0	30.0161	8	27.9130	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1749.40	0	2.2288	0	34.7630	0	27.763	0	198.0	0	58.5	0	27.20	0	0.02	0	0.000103	0	2.26	0	29.9971	8	27.8944	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1699.00	0	2.2536	0	34.7600	0	27.759	0	196.6	0	58.1	0	27.40	0	0.03	0	0.000099	0	2.24	0	29.9744	8	27.8723	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1649.40	0	2.2713	0	34.7560	0	27.754	0	195.1	0	57.7	0	27.60	0	0.03	0	0.000099	0	2.25	0	29.9525	8	27.8509	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1599.20	0	2.3119	0	34.7500	0	27.746	0	193.1	0	57.2	0	27.80	0	0.02	0	0.000101	0	2.24	0	29.9305	8	27.8297	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1549.90	0	2.3319	0	34.7410	0	27.737	0	190.9	0	56.5	0	28.20	0	0.02	0	0.000144	0	2.23	0	29.9065	8	27.8063	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1499.50	0	2.3620	0	34.7330	0	27.728	0	188.5	0	55.9	0	28.60	0	0.02	0	0.000100	0	2.23	0	29.8798	8	27.7805	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1449.40	0	2.4008	0	34.7260	0	27.719	0	186.6	0	55.3	0	28.60	0	0.02	0	0.000103	0	2.27	0	29.8536	8	27.7554	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1400.20	0	2.4123	0	34.7130	0	27.708	0	184.3	0	54.7	0	29.10	0	0.03	0	0.000103	0	2.23	0	29.8321	8	27.7343	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1348.80	0	2.4299	0	34.6980	0	27.694	0	181.3	0	53.8	0	29.60	0	0.02	0	0.000103	0	2.25	0	29.8038	8	27.7069	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1299.10	0	2.4433	0	34.6830	0	27.681	0	178.7	0	53.0	0	30.00	0	0.03	0	0.000108	0	2.22	0	29.7784	8	27.6822	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1249.30	0	2.4499	0	34.6710	0	27.671	0	176.8	0	52.5	0	30.30	0	0.03	0	0.000104	0	2.24	0	29.7522	8	27.6567	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1200.00	0	2.4696	0	34.6560	0	27.658	0	174.8	0	51.9	0	30.70	0	0.02	0	0.000112	0	2.15	0	29.7208	8	27.6265	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1149.00	0	2.5218	0	34.6440	0	27.643	0	173.7	0	51.7	0	30.90	0	0.03	0	0.000107	0	2.18	0	29.6844	8	27.5921	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1099.30	0	2.5542	0	34.6260	0	27.626	0	173.0	0	51.5	0	31.10	0	0.02	0	0.000104	0	2.21	0	29.6507	8	27.5601	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1048.70	0	2.5351	0	34.6090	0	27.614	0	172.1	0	51.2	0	31.60	0	0.03	0	0.000109	0	2.15	0	29.6250	8	27.5347	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		999.40	0	2.5419	0	34.5900	0	27.599	0	170.9	0	50.8	0	31.90	0	0.03	0	0.000107	0	2.17	0	29.5928	8	27.5036	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		976.00	0	2.5340	0	34.5730	0	27.586	0	169.8	0	50.5	0		8	0.03	0	0.000108	0	2.18	0	29.5592	8	27.4719	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		974.00	0	2.5360	0	34.5720	0	27.585	0	169.8	0	50.5	0		8	0.02	0	0.000111	0	2.18	0	29.5575	8	27.4703	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		972.00	0	2.5370	0	34.5720	0	27.585	0	169.7	0	50.5	0		8	0.02	0	0.000109	0	2.16	0	29.5533	8	27.4664	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		969.90	0	2.5370	0	34.5720	0	27.585	0	169.7	0	50.5	0		8	0.02	0	0.000109	0	2.14	0	29.5498	8	27.4631	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		968.00	0	2.5360	0	34.5720	0	27.585	0	169.7	0	50.4	0		8	0.02	0	0.000109	0	2.16	0	29.5480	8	27.4614	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		966.00	0	2.5360	0	34.5720	0	27.585	0	169.6	0	50.4	0		8	0.03	0	0.000108	0	2.17	0	29.5457	8	27.4593	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		964.00	0	2.5320	0	34.5710	0	27.584	0	169.6	0	50.4	0		8	0.02	0	0.000109	0	2.16	0	29.5440	8	27.4576	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		962.00	0	2.5320	0	34.5690	0	27.583	0	169.5	0	50.4	0		8	0.03	0	0.000108	0	2.20	0	29.5426	8	27.4562	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		960.00	0	2.5330	0	34.5680	0	27.582	0	169.5	0	50.4	0		8	0.02	0	0.000109	0	2.18	0	29.5384	8	27.4523	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		958.00	0	2.5350	0	34.5670	0	27.581	0	169.5	0	50.4	0		8	0.03	0	0.000148	0	2.17	0	29.5353	8	27.4494	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		956.00	0	2.5360	0	34.5670	0	27.581	0	169.5	0	50.4	0		8	0.02	0	0.000108	0	2.15	0	29.5349	8	27.4490	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		954.00	0	2.5370	0	34.5660	0	27.580	0	169.5	0	50.4	0		8	0.02	0	0.000108	0	2.16	0	29.5327	8	27.4469	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		952.00	0	2.5380	0	34.5630	0	27.577	0	169.5	0	50.4	0	32.30	0	0.02	0	0.000109	0	2.12	0	29.5314	8	27.4457	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		950.00	0	2.5370	0	34.5620	0	27.577	0	169.5	0	50.4	0		8	0.02	0	0.000108	0	2.14	0	29.5293	8	27.4437	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		948.00	0	2.5370	0	34.5610	0	27.576	0	169.5	0	50.4	0		8	0.02	0	0.000106	0	2.14	0	29.5251	8	27.4398	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		946.00	0	2.5370	0	34.5600	0	27.575	0	169.5	0	50.4	0		8	0.02	0	0.000111	0	2.13	0	29.5230	8	27.4378	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		944.00	0	2.5380	0	34.5600	0	27.575	0	169.5	0	50.4	0		8	0.02	0	0.000112	0	2.13	0	29.5230	8	27.4377	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		942.00	0	2.5390	0	34.5600	0	27.575	0	169.5	0	50.4	0		8	0.03	0	0.000108	0	2.13	0	29.5215	8	27.4363	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		940.00	0	2.5390	0	34.5600	0	27.575	0	169.5	0	50.4	0		8	0.02	0	0.000114	0	2.14	0	29.5193	8	27.4342	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		938.00	0	2.5380	0	34.5590	0	27.574	0	169.5	0	50.4	0		8	0.02	0	0.000108	0	2.13	0	29.5187	8	27.4336	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		936.00	0	2.5370	0	34.5560	0	27.572	0	169.5	0	50.4	0		8	0.02	0	0.000108	0	2.13	0	29.5168	8	27.4318	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		934.00	0	2.5360	0	34.5540	0	27.570	0	169.5	0	50.4	0		8	0.02	0	0.000108	0	2.15	0	29.5147	8	27.4298	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		932.00	0	2.5290	0	34.5520	0	27.569	0	169.4	0	50.4	0		8	0.02	0	0.000110	0	2.12	0	29.5142	8	27.4292	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		930.00	0	2.5260	0	34.5510	0	27.569	0	169.3	0	50.3	0		8	0.02	0	0.000109	0	2.17	0	29.5116	8	27.4267	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		928.00	0	2.5320	0	34.5500	0	27.567	0	169.2	0	50.3	0		8	0.02	0	0.000107	0	2.14	0	29.5098	8	27.4250	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		926.00	0	2.5340	0	34.5500	0	27.567	0	169.3	0	50.3	0		8	0.03	0	0.000109	0	2.16	0	29.5091	8	27.4244	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		924.00	0	2.5330	0	34.5500	0	27.567	0	169.2	0	50.3	0		8	0.02	0	0.000109	0	2.14	0	29.5066	8	27.4220	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		922.00	0	2.5330	0	34.5490	0	27.567	0	169.2	0	50.3	0		8	0.02	0	0.000108	0	2.12	0	29.5054	8	27.4208	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		920.00	0	2.5320	0	34.5480	0	27.566	0	169.3	0	50.3	0		8	0.02	0	0.000110	0	2.12	0	29.5044	8	27.4199	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		918.00	0	2.5230	0	34.5450	0	27.564	0	169.2	0	50.3	0		8	0.02	0	0.000109	0	2.14	0	29.5033	8	27.4186	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		916.00	0	2.5160	0	34.5430	0	27.563	0	169.1	0	50.2	0		8	0.02	0	0.000108	0	2.14	0	29.5037	8	27.4189	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		914.00	0	2.5150	0	34.5420	0	27.562	0	169.0	0	50.2	0		8	0.03	0	0.000118	0	2.14	0	29.5022	8	27.4174	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		912.00	0	2.5150	0	34.5410	0	27.562	0	168.9	0	50.2	0		8	0.02	0	0.000126	0	2.15	0	29.4998	8	27.4151	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		910.00	0	2.5160	0	34.5400	0	27.561	0	168.9	0	50.2	0		8	0.02	0	0.000116	0	2.13	0	29.4994	8	27.4147	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		908.00	0	2.5170	0	34.5380	0	27.559	0	168.8	0	50.2	0		8	0.03	0	0.000109	0	2.12	0	29.4969	8	27.4124	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		906.00	0	2.5170	0	34.5370	0	27.558	0	168.8	0	50.2	0		8	0.02	0	0.000108	0	2.13	0	29.4949	8	27.4105	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		904.00	0	2.5170	0	34.5360	0	27.557	0	168.8	0	50.2	0		8	0.02	0	0.000107	0	2.15	0	29.4941	8	27.4097	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		902.00	0	2.5180	0	34.5360	0	27.557	0	168.8	0	50.2	0	33.00	0	0.02	0	0.000109	0	2.12	0	29.4925	8	27.4081	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		900.00	0	2.5180	0	34.5360	0	27.557	0	168.8	0	50.2	0		8	0.03	0	0.000110	0	2.12	0	29.4905	8	27.4062	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		898.00	0	2.5190	0	34.5360	0	27.557	0	168.8	0	50.2	0		8	0.03	0	0.000109	0	2.11	0	29.4894	8	27.4052	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		896.00	0	2.5230	0	34.5320	0	27.554	0	168.9	0	50.2	0		8	0.02	0	0.000110	0	2.10	0	29.4873	8	27.4032	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		894.00	0	2.5250	0	34.5310	0	27.553	0	169.0	0	50.2	0		8	0.02	0	0.000110	0	2.14	0	29.4868	8	27.4028	8
