//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1498.85	0	2.1721	0	34.6922	0	27.683	0	152.6	0	45	0	33.72	0	0.01	0	0.000098	0	7.774	8	7.516	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1398.5	0	2.2552	0	34.6734	0	27.66	0	149.6	0	44.2	0	34.14	0	0.02	0	0.000099	0	7.7676	8	7.508	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1299.59	0	2.3099	0	34.6497	0	27.635	0	146.1	0	43.2	0	34.67	0	0.01	0	0.000098	0	7.7643	8	7.5025	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1198.89	0	2.3621	0	34.6337	0	27.617	0	145.4	0	43	0	34.89	0	0.02	0	0.000099	0	7.7625	8	7.4982	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1098.63	0	2.431	0	34.6069	0	27.589	0	144.6	0	42.9	0	35.37	0	0.01	0	0.000109	0	7.7598	8	7.4934	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		999.35	0	2.5182	0	34.5648	0	27.546	0	144.9	0	43	0	35.83	0	0.03	0	0.000101	0	7.7567	8	7.4885	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		951.03	0	2.5613	0	34.5438	0	27.525	0	145.3	0	43.2	0	35.8	0	0.02	0	0.000103	0	7.7489	8	7.4804	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		900.79	0	2.5845	0	34.523	0	27.506	0	146.6	0	43.6	0	36.04	0	0.03	0	0.000101	0	7.7492	8	7.4793	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		851.09	0	2.6141	0	34.5036	0	27.487	0	147.9	0	44	0	36.04	0	0.03	0	0.000103	0	7.7501	8	7.4789	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		801.73	0	2.6596	0	34.4735	0	27.458	0	150.1	0	44.7	0	36.17	0	0.02	0	0.000104	0	7.7515	8	7.4792	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		750.82	0	2.6742	0	34.4308	0	27.422	0	153.9	0	45.9	0	36.18	0	0.02	0	0.000106	0	7.7525	8	7.4787	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		701.06	0	2.7817	0	34.4055	0	27.391	0	157.9	0	47.2	0	36	0	0.02	0	0.000111	0	7.7608	8	7.4861	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		651.23	0	2.8458	0	34.3759	0	27.36	0	162.1	0	48.5	0	35.75	0	0.02	0	0.000107	0	7.7701	8	7.4939	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		601.47	0	2.9425	0	34.3325	0	27.315	0	169.1	0	50.7	0	35.44	0	0.04	0	0.000111	0	7.7789	8	7.5017	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		551.51	0	3.0832	0	34.3097	0	27.282	0	173.4	0	52.1	0	34.94	0	0.01	0	0.000111	0	7.788	8	7.5103	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		501.37	0	3.1968	0	34.2779	0	27.244	0	179.5	0	54.1	0	34.21	0	0.02	0	0.000107	0	7.801	8	7.5221	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		451.15	0	3.3334	0	34.2382	0	27.198	0	189.5	0	57.3	0	33.46	0	0.01	0	0.000112	0	7.8146	8	7.5348	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		401.22	0	3.4387	0	34.1929	0	27.149	0	199.5	0	60.5	0	32.4	0	0.01	0	0.000112	0	7.8355	8	7.5538	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		381.03	0	3.4026	0	34.1652	0	27.131	0	206.6	0	62.5	0	31.93	0	0.01	0	0.000114	0	7.8439	8	7.5603	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		361.48	0	3.1805	0	34.12	0	27.117	0	218	0	65.6	0	31.48	0	0.02	0	0.000123	0	7.8596	8	7.571	8
