//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		  1798.66	0	  2.4100	0	34.6109	0	27.594	0	128.2	0	38.0	0	37.07	0	7.7040	0	7.4650	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		  1699.31	0	  2.5106	0	34.5875	0	27.566	0	126.7	0	37.6	0	37.21	0	7.6992	0	7.4587	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		  1599.05	0	  2.5879	0	34.5662	0	27.541	0	127.4	0	37.9	0	37.30	0	7.6994	0	7.4566	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		  1498.62	0	  2.6938	0	34.5369	0	27.507	0	127.6	0	38.1	0	37.37	0	7.6988	0	7.4543	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		  1399.08	0	  2.7914	0	34.5033	0	27.47	0	130.3	0	39.0	0	37.15	0	7.7022	0	7.4554	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		  1298.52	0	  2.9086	0	34.4618	0	27.424	0	137.1	0	41.1	0	36.67	0	7.7134	0	7.4640	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		  1199.29	0	  3.0322	0	34.4223	0	27.379	0	143.9	0	43.2	0	36.31	0	7.7243	0	7.4725	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		  1098.99	0	  3.2913	0	34.3700	0	27.31	0	151.2	0	45.7	0	35.62	0	7.7384	0	7.4857	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		   999.21	0	  3.5328	0	34.3343	0	27.255	0	157.6	0	47.9	0	34.81	0	7.7493	0	7.4958	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		   951.42	0	  3.6438	0	34.3181	0	27.23	0	161.2	0	49.2	0	34.47	0	7.7461	0	7.4928	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		   900.95	0	  3.8324	0	34.2972	0	27.192	0	165.3	0	50.6	0	33.80	0	7.7557	0	7.5025	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		   851.28	0	  4.0260	0	34.2753	0	27.153	0	171.1	0	52.6	0	32.96	0	7.7659	0	7.5129	0
9668SoOcn	 1	C	12/09/2015	13:57	279.702	-53.331		   801.58	0	  4.1683	0	34.2589	0	27.124	0	176.1	0	54.4	0	32.35	0	7.7757	0	7.5222	0
