//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		2000.60	0	0.2266	0	34.6640	0	27.823	0	232.2	0	65.2	0	33.80	0	0.02	0	0.000101	0	2.70	0	29.6531	8	27.5601	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1949.70	0	0.2444	0	34.6650	0	27.822	0	221.4	0	62.1	0	33.70	0	0.02	0	0.000103	0	2.75	0	29.6323	8	27.5395	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1898.90	0	0.2722	0	34.6670	0	27.823	0	220.0	0	61.8	0	33.80	0	0.02	0	0.000106	0	2.71	0	29.6206	8	27.5275	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1849.00	0	0.2898	0	34.6670	0	27.822	0	219.1	0	61.6	0	33.80	0	0.03	0	0.000103	0	2.75	0	29.6052	8	27.5120	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1799.80	0	0.3107	0	34.6680	0	27.821	0	218.5	0	61.4	0	33.90	0	0.02	0	0.000102	0	2.73	0	29.5890	8	27.4958	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1749.80	0	0.3341	0	34.6690	0	27.821	0	217.7	0	61.2	0	33.80	0	0.02	0	0.000103	0	2.73	0	29.5627	8	27.4704	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1698.80	0	0.3669	0	34.6700	0	27.820	0	216.9	0	61.1	0	33.80	0	0.03	0	0.000103	0	2.73	0	29.5401	8	27.4485	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1649.50	0	0.3917	0	34.6720	0	27.820	0	215.9	0	60.8	0	33.80	0	0.02	0	0.000104	0	2.76	0	29.5214	8	27.4301	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1599.80	0	0.4138	0	34.6710	0	27.818	0	215.3	0	60.7	0	33.80	0	0.02	0	0.000110	0	2.74	0	29.4985	8	27.4077	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1549.50	0	0.4475	0	34.6740	0	27.818	0	214.3	0	60.5	0	33.60	0	0.02	0	0.000103	0	2.73	0	29.4721	8	27.3823	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1499.50	0	0.4867	0	34.6760	0	27.817	0	213.3	0	60.2	0	33.70	0	0.03	0	0.000109	0	2.75	0	29.4421	8	27.3537	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1449.60	0	0.5099	0	34.6780	0	27.818	0	212.5	0	60.0	0	33.70	0	0.03	0	0.000104	0	2.76	0	29.4123	8	27.3251	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1399.40	0	0.5431	0	34.6790	0	27.816	0	211.6	0	59.9	0	33.60	0	0.02	0	0.000111	0	2.77	0	29.3848	8	27.2987	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1349.20	0	0.5769	0	34.6810	0	27.816	0	210.7	0	59.7	0	33.70	0	0.03	0	0.000104	0	2.78	0	29.3619	8	27.2765	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1298.80	0	0.6096	0	34.6820	0	27.815	0	210.1	0	59.5	0	33.70	0	0.02	0	0.000113	0	2.77	0	29.3293	8	27.2454	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1249.20	0	0.6475	0	34.6840	0	27.814	0	209.2	0	59.3	0	33.70	0	0.03	0	0.000106	0	2.75	0	29.3009	8	27.2183	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1199.60	0	0.6962	0	34.6880	0	27.814	0	208.2	0	59.1	0	33.50	0	0.03	0	0.000106	0	2.79	0	29.2714	8	27.1903	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1149.60	0	0.7285	0	34.6900	0	27.814	0	207.6	0	59.0	0	33.50	0	0.02	0	0.000112	0	2.78	0	29.2327	8	27.1535	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1099.30	0	0.7727	0	34.6910	0	27.812	0	206.8	0	58.9	0	33.50	0	0.03	0	0.000106	0	2.78	0	29.1962	8	27.1190	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		1049.50	0	0.8185	0	34.6940	0	27.811	0	206.0	0	58.7	0	33.40	0	0.03	0	0.000105	0	2.77	0	29.1534	8	27.0789	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		999.50	0	0.8681	0	34.6970	0	27.811	0	205.1	0	58.5	0	33.30	0	0.03	0	0.000105	0	2.77	0	29.1127	8	27.0405	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		978.00	0	0.8830	0	34.6970	0	27.810	0	204.4	0	58.3	0		8	0.03	0	0.000107	0	2.80	0	29.0963	8	27.0251	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		976.00	0	0.8850	0	34.6970	0	27.809	0	204.3	0	58.3	0		8	0.03	0	0.000109	0	2.78	0	29.0938	8	27.0227	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		974.00	0	0.8860	0	34.6970	0	27.809	0	204.3	0	58.3	0		8	0.02	0	0.000106	0	2.78	0	29.0920	8	27.0210	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		972.00	0	0.8860	0	34.6970	0	27.809	0	204.2	0	58.3	0		8	0.03	0	0.000117	0	2.77	0	29.0893	8	27.0185	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		970.00	0	0.8850	0	34.6970	0	27.809	0	204.2	0	58.3	0		8	0.03	0	0.000105	0	2.76	0	29.0866	8	27.0159	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		968.00	0	0.8870	0	34.6970	0	27.809	0	204.2	0	58.3	0		8	0.03	0	0.000105	0	2.77	0	29.0833	8	27.0128	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		966.00	0	0.8900	0	34.6980	0	27.810	0	204.1	0	58.3	0		8	0.03	0	0.000124	0	2.76	0	29.0810	8	27.0107	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		964.00	0	0.8920	0	34.6980	0	27.810	0	204.1	0	58.3	0		8	0.03	0	0.000105	0	2.76	0	29.0794	8	27.0092	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		962.00	0	0.8950	0	34.6980	0	27.810	0	204.0	0	58.2	0		8	0.03	0	0.000107	0	2.76	0	29.0758	8	27.0059	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		960.00	0	0.8970	0	34.6980	0	27.809	0	204.0	0	58.2	0		8	0.02	0	0.000106	0	2.75	0	29.0739	8	27.0041	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		958.00	0	0.8980	0	34.6980	0	27.809	0	204.0	0	58.2	0		8	0.03	0	0.000104	0	2.75	0	29.0712	8	27.0016	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		956.00	0	0.8990	0	34.6980	0	27.809	0	204.0	0	58.2	0		8	0.03	0	0.000105	0	2.75	0	29.0683	8	26.9989	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		954.00	0	0.9000	0	34.6980	0	27.809	0	203.9	0	58.2	0		8	0.03	0	0.000106	0	2.76	0	29.0660	8	26.9967	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		952.00	0	0.9000	0	34.6980	0	27.809	0	203.9	0	58.2	0	33.40	0	0.03	0	0.000107	0	2.74	0	29.0636	8	26.9945	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		950.00	0	0.9000	0	34.6980	0	27.809	0	203.9	0	58.2	0		8	0.03	0	0.000106	0	2.75	0	29.0618	8	26.9928	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		948.00	0	0.9000	0	34.6980	0	27.809	0	203.9	0	58.2	0		8	0.03	0	0.000108	0	2.75	0	29.0595	8	26.9906	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		946.00	0	0.9000	0	34.6980	0	27.809	0	203.9	0	58.2	0		8	0.03	0	0.000125	0	2.76	0	29.0571	8	26.9883	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		944.00	0	0.9010	0	34.6980	0	27.809	0	203.9	0	58.2	0		8	0.03	0	0.000107	0	2.76	0	29.0548	8	26.9861	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		942.00	0	0.9020	0	34.6980	0	27.809	0	203.9	0	58.2	0		8	0.03	0	0.000106	0	2.75	0	29.0531	8	26.9846	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		940.00	0	0.9040	0	34.6980	0	27.809	0	203.9	0	58.2	0		8	0.03	0	0.000107	0	2.75	0	29.0506	8	26.9822	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		938.00	0	0.9080	0	34.6980	0	27.809	0	203.8	0	58.2	0		8	0.03	0	0.000107	0	2.76	0	29.0482	8	26.9800	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		936.00	0	0.9100	0	34.6990	0	27.809	0	203.8	0	58.2	0		8	0.03	0	0.000105	0	2.75	0	29.0470	8	26.9789	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		934.00	0	0.9120	0	34.6990	0	27.809	0	203.7	0	58.2	0		8	0.03	0	0.000110	0	2.76	0	29.0437	8	26.9758	8
0506SoOcn	1	C	01/24/2016	08:24	93.648	-62.982		932.00	0	0.9160	0	34.6990	0	27.809	0	203.7	0	58.2	0		8	0.03	0	0.000105	0	2.75	0	29.0424	8	26.9745	8
