//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		  1599.59	0	  1.4850	0	34.7381	0	27.781	0	200.8	0	58.2	0	30.15	0	0.01	0	0.000069	0	7.7917	0	7.5261	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		  1498.27	0	  1.6031	0	34.7415	0	27.774	0	192.5	0	55.9	0	29.91	0	0.01	0	0.000079	0	7.7937	0	7.5263	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		  1399.16	0	  1.6655	0	34.7405	0	27.768	0	190.6	0	55.5	0	29.98	0	0.00	0	0.000071	0	7.7932	0	7.5234	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		  1299.27	0	  1.7768	0	34.7420	0	27.759	0	188.9	0	55.1	0	29.78	0	0.00	0	0.000071	0	7.7937	0	7.5220	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		  1199.64	0	  1.8817	0	34.7349	0	27.744	0	185.8	0	54.4	0	30.13	0	0.01	0	0.000071	0	7.7897	0	7.5166	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		  1099.06	0	  1.9431	0	34.7301	0	27.735	0	183.4	0	53.8	0	30.16	0	0.01	0	0.000076	0	7.7886	0	7.5131	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   999.37	0	  1.9912	0	34.7232	0	27.725	0	181.6	0	53.3	0	30.35	0	0.01	0	0.000076	0	7.7862	0	7.5083	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   951.50	0	  2.0366	0	34.7186	0	27.717	0	180.1	0	52.9	0	30.46	0	0.01	0	0.000074	0	7.7850	0	7.5062	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   901.67	0	  2.0601	0	34.7132	0	27.71	0	179.1	0	52.6	0	30.51	0	0.01	0	0.000079	0	7.7831	0	7.5031	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   851.61	0	  2.0870	0	34.7028	0	27.699	0	177.3	0	52.1	0	30.64	0	0.01	0	0.000079	0	7.7807	0	7.4997	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   801.10	0	  2.0713	0	34.6843	0	27.686	0	176.0	0	51.7	0	31.23	0	0.00	0	0.000087	0	7.7738	0	7.4915	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   751.35	0	  2.1350	0	34.6737	0	27.671	0	174.4	0	51.4	0	31.43	0	0.01	0	0.000081	0	7.7705	0	7.4877	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   700.64	0	  2.0899	0	34.6488	0	27.655	0	173.4	0	51.0	0	31.97	0	0.01	0	0.000082	0	7.7627	0	7.4783	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   651.56	0	  2.0562	0	34.6256	0	27.639	0	173.9	0	51.1	0	32.20	0	0.01	0	0.000082	0	7.7601	0	7.4738	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   600.99	0	  2.1718	0	34.6232	0	27.627	0	171.2	0	50.4	0	32.18	0	0.01	0	0.000093	0	7.7584	0	7.4722	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   550.14	0	  2.0497	0	34.5868	0	27.608	0	175.2	0	51.4	0	32.58	0	0.01	0	0.000084	0	7.7571	0	7.4676	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   500.75	0	  2.1008	0	34.5557	0	27.578	0	175.5	0	51.6	0	32.91	0	0.01	0	0.000106	0	7.7557	0	7.4654	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   451.31	0	  2.2081	0	34.5449	0	27.56	0	173.0	0	51.0	0	33.02	0	0.01	0	0.000097	0	7.7533	0	7.4631	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   401.05	0	  1.8741	0	34.4525	0	27.515	0	188.9	0	55.2	0	33.07	0	0.01	0	0.000090	0	7.7640	0	7.4667	0
9602SoOcn	 1	C	02/28/2016	22:15	  87.658	-52.978		   381.52	0	  1.1913	0	34.3495	0	27.491	0	222.2	0	63.7	0	33.05	0	0.00	0	0.000124	0	7.7857	0	7.4766	0
