//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		  1799.47	0	  0.3395	0	34.6688	0	27.817	0	197.0	0	55.4	0	29.59	0	0.01	0	0.000122	0	7.8717	0	7.5903	0
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		  1699.20	0	  0.5746	0	34.6946	0	27.82	0	186.5	0	52.8	0	29.67	0	0.02	0	0.000109	0	7.8693	0	7.5881	0
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		  1598.94	0	  0.5914	0	34.6887	0	27.814	0	187.8	0	53.1	0	29.51	0	0.02	0	0.000111	0	7.8735	0	7.5889	0
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		  1499.32	0	  0.8133	0	34.7119	0	27.816	0	179.5	0	51.1	0	29.35	0	0.01	0	0.000101	0	7.8759	0	7.5908	0
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		  1398.25	0	  0.8524	0	34.7097	0	27.811	0	180.2	0	51.4	0	29.35	0	0.01	0	0.000103	0	7.8797	0	7.5915	0
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		  1299.38	0	  0.9709	0	34.7174	0	27.808	0	176.7	0	50.5	0	29.03	0	0.01	0	0.000098	0	7.8826	0	7.5925	0
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		  1199.16	0	  1.0427	0	34.7198	0	27.804	0	175.5	0	50.3	0	29.21	0	0.02	0	0.000097	0	7.8861	0	7.5934	0
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		  1099.49	0	  1.1177	0	34.7222	0	27.799	0	174.3	0	50.0	0	29.05	0	0.01	0	0.000098	0	7.8889	0	7.5937	0
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		   999.48	0	  1.2264	0	34.7241	0	27.792	0	172.5	0	49.6	0	28.80	0	0.02	0	0.000101	0	7.8905	0	7.5934	0
9652SoOcn	 1	C	01/07/2016	19:29	305.365	-60.626		   950.92	0	  1.2776	0	34.7253	0	27.789	0	171.5	0	49.4	0	28.99	0	0.02	0	0.000095	0	7.8846	0	7.5871	0
