//0																					
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth [m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   995.32	0	  2.5403	0	34.6504	0	27.614	0	164.1	0	48.6	0	37.71	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   950.71	0	  2.4708	0	34.6190	0	27.595	0	161.1	0	47.6	0	37.82	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   900.37	0	  2.4594	0	34.6080	0	27.587	0	160.4	0	47.4	0	38.25	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   850.03	0	  2.4446	0	34.5864	0	27.571	0	159.9	0	47.3	0	38.74	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   801.54	0	  2.4463	0	34.5600	0	27.549	0	160.1	0	47.3	0	39.25	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   750.65	0	  2.4023	0	34.5187	0	27.52	0	160.7	0	47.4	0	39.45	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   700.36	0	  2.4347	0	34.4825	0	27.487	0	162.8	0	48.0	0	39.30	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   651.39	0	  2.5329	0	34.4574	0	27.457	0	166.2	0	49.2	0	39.62	0
