//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1599.13	0	2.9661	0	34.4703	0	27.425	0	155.4	0	46.6	0	35.16	0	0.01	0	0.000106	0	7.7198	8	7.4805	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1497.94	0	3.1301	0	34.4337	0	27.379	0	157.7	0	47.5	0	35.01	0	-0.01	0	0.000106	0	7.7261	8	7.4852	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1399.75	0	3.3654	0	34.3984	0	27.325	0	162.1	0	49.1	0	34.47	0	0.01	0	0.000102	0	7.7373	8	7.4955	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1299.47	0	3.6776	0	34.3579	0	27.259	0	168.5	0	51.4	0	33.71	0	0	0	0.000106	0	7.7497	8	7.508	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1199.17	0	4.0626	0	34.3279	0	27.192	0	175.4	0	54	0	32.68	0	-0.01	0	0.000102	0	7.7658	8	7.5248	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1099.94	0	4.5536	0	34.3099	0	27.121	0	181.4	0	56.6	0	31.39	0	0	0	0.000106	0	7.7825	8	7.5437	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		999.79	0	5.2424	0	34.3175	0	27.045	0	183.3	0	58.1	0	29.82	0	0.01	0	0.000104	0	7.8004	8	7.5664	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		951.67	0	5.5131	0	34.316	0	27.01	0	188.9	0	60.3	0	28.81	0	0	0	0.000104	0	7.8007	8	7.5688	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		900.84	0	5.7515	0	34.3175	0	26.981	0	192.8	0	61.9	0	28.15	0	-0.01	0	0.000104	0	7.8124	8	7.5813	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		851.23	0	5.9475	0	34.3088	0	26.949	0	199.4	0	64.3	0	26.93	0	-0.01	0	0.000109	0	7.8255	8	7.5944	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		801.09	0	6.0409	0	34.2914	0	26.922	0	209.1	0	67.5	0	25.91	0	-0.01	0	0.000102	0	7.8412	8	7.6085	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		751.59	0	6.2479	0	34.2992	0	26.901	0	215	0	69.8	0	24.99	0	0	0	0.000107	0	7.8539	8	7.6214	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		700.97	0	6.6565	0	34.3378	0	26.878	0	212.4	0	69.6	0	24.22	0	-0.01	0	0.00011	0	7.8575	8	7.6287	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		650.76	0	6.958	0	34.3721	0	26.865	0	210.6	0	69.5	0	23.58	0	-0.01	0	0.000107	0	7.8627	8	7.6362	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		601	0	7.149	0	34.383	0	26.847	0	213.4	0	70.8	0	22.93	0	0	0	0.000106	0	7.8683	8	7.6424	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		551.03	0	7.3315	0	34.3985	0	26.834	0	214	0	71.3	0	22.27	0	-0.01	0	0.000106	0	7.8739	8	7.6484	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		501.58	0	7.3725	0	34.3879	0	26.819	0	221.9	0	74	0	21.13	0	0	0	0.00011	0	7.8907	8	7.6628	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		451.64	0	7.5396	0	34.4033	0	26.808	0	224	0	75	0	20.62	0	-0.01	0	0.000109	0	7.8969	8	7.6692	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		401.56	0	7.8593	0	34.4475	0	26.798	0	218.7	0	73.7	0	20.15	0	-0.01	0	0.000115	0	7.8919	8	7.6675	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		381.46	0	7.9277	0	34.4555	0	26.794	0	219.7	0	74.2	0	19.78	0	-0.01	0	0.000112	0	7.8954	8	7.671	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		361.02	0	7.9746	0	34.4605	0	26.792	0	220.3	0	74.5	0	19.62	0	0	0	0.000115	0	7.897	8	7.6725	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		351.27	0	7.9865	0	34.4601	0	26.79	0	220.3	0	74.5	0	19.71	0	-0.01	0	0.000117	0	7.898	8	7.6733	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		340.64	0	8.0746	0	34.4716	0	26.786	0	220.7	0	74.8	0	19.06	0	-0.01	0	0.000122	0	7.9005	8	7.6765	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		330.69	0	8.1482	0	34.4807	0	26.782	0	220.8	0	75	0	18.72	0	-0.01	0	0.00012	0	7.9041	8	7.6805	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		320.93	0	8.2013	0	34.4875	0	26.78	0	222.1	0	75.5	0	18.12	0	-0.01	0	0.00012	0	7.9089	8	7.6853	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		311.66	0	8.256	0	34.4944	0	26.778	0	223.6	0	76.1	0	17.96	0	0	0	0.000128	0	7.9114	8	7.688	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		301.4	0	8.2953	0	34.5001	0	26.776	0	225.2	0	76.7	0	17.58	0	-0.01	0	0.000123	0	7.9132	8	7.6899	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		291.18	0	8.3468	0	34.5048	0	26.772	0	225.5	0	76.9	0	17.22	0	-0.01	0	0.000126	0	7.916	8	7.6929	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		281.44	0	8.4015	0	34.5115	0	26.77	0	226.7	0	77.4	0	16.83	0	0	0	0.000123	0	7.9187	8	7.6959	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		270.98	0	8.4729	0	34.5197	0	26.765	0	227.9	0	78	0	16.65	0	-0.01	0	0.00012	0	7.9201	8	7.6978	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		261.5	0	8.4896	0	34.5215	0	26.764	0	228.2	0	78.1	0	16.53	0	-0.01	0	0.000122	0	7.9178	8	7.6956	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		251.71	0	8.522	0	34.523	0	26.761	0	227.3	0	77.8	0	16.6	0	-0.01	0	0.000125	0	7.9198	8	7.6976	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		241.41	0	8.5912	0	34.5246	0	26.751	0	226.1	0	77.6	0	16.48	0	0	0	0.000122	0	7.917	8	7.6957	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		231.44	0	8.6332	0	34.5284	0	26.748	0	224.9	0	77.2	0	16.42	0	-0.01	0	0.000128	0	7.9167	8	7.6957	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		221.42	0	8.6839	0	34.5332	0	26.744	0	222.8	0	76.6	0	16.53	0	0.01	0	0.000125	0	7.9157	8	7.6952	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		211.52	0	8.7865	0	34.5414	0	26.735	0	221.1	0	76.1	0	16.97	0	-0.01	0	0.00012	0	7.9125	8	7.6933	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		201.12	0	8.827	0	34.5467	0	26.733	0	221.3	0	76.3	0	15.51	0	0	0	0.00012	0	7.9228	8	7.7031	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		191.13	0	8.9492	0	34.5594	0	26.724	0	223.1	0	77.2	0	15.71	0	0.01	0	0.00012	0	7.9191	8	7.701	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		181.33	0	9.0304	0	34.568	0	26.719	0	220.8	0	76.5	0	16.14	0	0.01	0	0.000115	0	7.9127	8	7.6961	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		171.2	0	9.1804	0	34.5841	0	26.708	0	217.2	0	75.5	0	15.96	0	0.01	0	0.000115	0	7.9134	8	7.6986	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		161.11	0	9.2712	0	34.5933	0	26.701	0	216.6	0	75.4	0	15.4	0	0	0	0.000115	0	7.917	8	7.7028	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		150.91	0	9.4106	0	34.6089	0	26.692	0	215.9	0	75.4	0	15.31	0	0.01	0	0.000109	0	7.9178	8	7.7052	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		141.18	0	9.5313	0	34.6167	0	26.678	0	215.8	0	75.6	0	14.68	0	0.02	0	0.000115	0	7.9193	8	7.7079	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		131.21	0	9.6409	0	34.6193	0	26.663	0	215.7	0	75.8	0	14.54	0	0.04	0	0.000114	0	7.9204	8	7.7102	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		121.39	0	9.9159	0	34.6536	0	26.646	0	212.8	0	75.2	0	14.31	0	0.06	0	0.00012	0	7.9213	8	7.7147	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		111.38	0	9.9356	0	34.6411	0	26.632	0	212.7	0	75.2	0	13.98	0	0.09	0	0.00012	0	7.9252	8	7.7182	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		100.66	0	10.2704	0	34.6909	0	26.617	0	209.6	0	74.7	0	13.84	0	0.15	0	0.00012	0	7.9214	8	7.7192	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		94.67	0	10.3388	0	34.6977	0	26.611	0	208	0	74.2	0	13.41	0	0.15	0	0.000123	0	7.9258	8	7.724	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		88.48	0	10.2889	0	34.6649	0	26.592	0	210.1	0	74.9	0	13.16	0	0.23	0	0.000147	0	7.9354	8	7.7319	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		82.52	0	10.433	0	34.622	0	26.532	0	212.1	0	75.8	0	12.66	0	0.28	0	0.000149	0	7.9497	8	7.7468	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		76.87	0	10.5245	0	34.514	0	26.426	0	217.9	0	78	0	10.81	0	0.39	0	0.000166	0	7.9838	8	7.7792	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		72.19	0	10.7478	0	34.4618	0	26.343	0	225.5	0	81.1	0	10.29	0	0.86	0	0.000232	0	7.9839	8	7.7825	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		67.89	0	10.7522	0	34.4573	0	26.338	0	229.8	0	82.6	0	10.13	0	0.92	0	0.000216	0	7.9869	8	7.7851	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		63.54	0	10.7422	0	34.4522	0	26.336	0	232.3	0	83.5	0	10.3	0	1.18	0	0.000232	0	7.9869	8	7.7848	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		59.16	0	10.7465	0	34.4536	0	26.336	0	233.4	0	83.9	0	10.15	0	1.2	0	0.000241	0	7.9898	8	7.7874	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		54.84	0	10.7919	0	34.456	0	26.33	0	233.9	0	84.1	0	9.84	0	1.43	0	0.000249	0	7.9915	8	7.7894	8
