//0																									
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1799.37	0	  0.6055	0	34.7023	0	27.824	0	183.5	0	52.0	0		8	0.00	0	0.000079	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1697.39	0	  0.6425	0	34.7034	0	27.822	0	182.6	0	51.8	0		8	0.00	0	0.000081	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1597.30	0	  0.6849	0	34.7043	0	27.82	0	181.7	0	51.6	0		8	-0.01	0	0.000078	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1497.04	0	  0.7231	0	34.7061	0	27.818	0	180.9	0	51.4	0		8	0.00	0	0.000079	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1396.85	0	  0.7657	0	34.7073	0	27.816	0	179.9	0	51.1	0		8	-0.01	0	0.000082	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1295.03	0	  0.8073	0	34.7091	0	27.814	0	178.9	0	50.9	0		8	-0.01	0	0.000079	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1195.82	0	  0.8578	0	34.7115	0	27.812	0	177.8	0	50.7	0		8	0.00	0	0.000090	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1094.21	0	  0.9083	0	34.7127	0	27.809	0	176.6	0	50.4	0		8	0.00	0	0.000085	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   995.13	0	  0.9680	0	34.7156	0	27.806	0	174.9	0	50.0	0		8	-0.01	0	0.000087	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   943.50	0	  0.9969	0	34.7168	0	27.805	0	174.0	0	49.8	0		8	0.00	0	0.000082	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   899.14	0	  1.0268	0	34.7180	0	27.804	0	173.2	0	49.6	0		8	-0.01	0	0.000085	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   850.67	0	  1.0617	0	34.7188	0	27.801	0	172.3	0	49.4	0		8	0.00	0	0.000087	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   800.32	0	  1.0939	0	34.7201	0	27.8	0	171.2	0	49.1	0		8	-0.01	0	0.000085	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   750.08	0	  1.1217	0	34.7215	0	27.799	0	170.2	0	48.9	0		8	-0.01	0	0.000095	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   699.61	0	  1.1458	0	34.7222	0	27.797	0	169.5	0	48.7	0		8	0.00	0	0.000100	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   641.12	0	  1.1887	0	34.7234	0	27.795	0	168.0	0	48.3	0		8	0.00	0	0.000092	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   601.16	0	  1.2201	0	34.7240	0	27.792	0	167.1	0	48.1	0		8	0.00	0	0.000125	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   551.07	0	  1.2577	0	34.7251	0	27.79	0	165.8	0	47.7	0		8	0.00	0	0.000092	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   500.19	0	  1.2971	0	34.7255	0	27.787	0	164.6	0	47.5	0		8	0.01	0	0.000092	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   450.30	0	  1.3374	0	34.7257	0	27.784	0	164.0	0	47.3	0		8	0.00	0	0.000090	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   398.60	0	  1.3815	0	34.7253	0	27.78	0	163.3	0	47.2	0		8	0.00	0	0.000103	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   380.97	0	  1.3974	0	34.7253	0	27.779	0	163.2	0	47.2	0		8	0.00	0	0.000095	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   360.68	0	  1.4183	0	34.7248	0	27.776	0	162.7	0	47.1	0		8	0.00	0	0.000098	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   348.63	0	  1.4279	0	34.7243	0	27.775	0	162.5	0	47.0	0		8	0.00	0	0.000095	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   339.35	0	  1.4384	0	34.7237	0	27.774	0	162.4	0	47.0	0		8	0.00	0	0.000095	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   329.36	0	  1.4509	0	34.7219	0	27.771	0	162.1	0	46.9	0		8	0.00	0	0.000098	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   320.15	0	  1.4571	0	34.7212	0	27.77	0	161.9	0	46.9	0		8	0.00	0	0.000100	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   310.96	0	  1.4618	0	34.7195	0	27.768	0	161.7	0	46.8	0		8	0.00	0	0.000097	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   298.98	0	  1.4644	0	34.7173	0	27.766	0	161.5	0	46.8	0		8	0.00	0	0.000098	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   289.86	0	  1.4621	0	34.7144	0	27.764	0	161.5	0	46.7	0		8	0.00	0	0.000100	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   280.73	0	  1.4550	0	34.7110	0	27.762	0	161.6	0	46.8	0		8	0.00	0	0.000098	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   268.96	0	  1.4293	0	34.7040	0	27.759	0	162.0	0	46.8	0		8	0.00	0	0.000101	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   259.88	0	  1.3774	0	34.6948	0	27.756	0	162.8	0	47.0	0		8	0.00	0	0.000104	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   250.12	0	  1.2787	0	34.6815	0	27.753	0	164.7	0	47.4	0		8	0.01	0	0.000101	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   241.09	0	  1.2250	0	34.6724	0	27.75	0	166.4	0	47.9	0		8	0.01	0	0.000101	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   229.37	0	  1.2160	0	34.6634	0	27.744	0	168.0	0	48.3	0		8	0.01	0	0.000101	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   220.38	0	  1.1453	0	34.6500	0	27.739	0	169.5	0	48.7	0		8	0.03	0	0.000104	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   208.74	0	  0.9705	0	34.6236	0	27.732	0	173.7	0	49.6	0		8	0.04	0	0.000109	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   199.86	0	  0.8548	0	34.6058	0	27.726	0	177.7	0	50.6	0		8	0.04	0	0.000101	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   191.00	0	  0.7106	0	34.5861	0	27.722	0	181.6	0	51.5	0		8	0.04	0	0.000104	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   179.03	0	  0.4676	0	34.5495	0	27.711	0	189.0	0	53.3	0		8	0.04	0	0.000101	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   170.26	0	  0.2348	0	34.5154	0	27.701	0	195.9	0	54.9	0		8	0.04	0	0.000106	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   158.92	0	 -0.0868	0	34.4749	0	27.692	0	205.6	0	57.1	0		8	0.07	0	0.000106	0
