//0																									
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1598.72	0	  0.6993	0	34.7003	0	27.815	0	174.1	0	49.4	0	37.86	0	0.00	0	0.000083	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1499.26	0	  0.7341	0	34.7010	0	27.813	0	171.9	0	48.8	0	37.94	0	0.01	0	0.000080	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1399.36	0	  0.7710	0	34.7022	0	27.811	0	171.0	0	48.6	0	37.80	0	0.01	0	0.000083	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1299.71	0	  0.8213	0	34.7047	0	27.809	0	169.9	0	48.4	0	37.68	0	0.00	0	0.000085	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1199.62	0	  0.8748	0	34.7063	0	27.806	0	168.7	0	48.1	0	37.57	0	0.01	0	0.000082	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1099.23	0	  0.9223	0	34.7085	0	27.804	0	167.5	0	47.8	0	37.84	0	0.01	0	0.000110	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   999.57	0	  0.9774	0	34.7110	0	27.802	0	166.0	0	47.4	0	37.67	0	0.00	0	0.000089	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   951.23	0	  1.0128	0	34.7123	0	27.8	0	165.1	0	47.2	0	37.74	0	0.01	0	0.000087	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   900.66	0	  1.0406	0	34.7135	0	27.799	0	164.1	0	47.0	0	37.66	0	0.01	0	0.000087	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   851.62	0	  1.0678	0	34.7147	0	27.797	0	163.3	0	46.8	0	37.62	0	0.02	0	0.000093	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   801.44	0	  1.0995	0	34.7154	0	27.795	0	162.4	0	46.6	0	37.49	0	0.00	0	0.000093	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   751.11	0	  1.1364	0	34.7167	0	27.793	0	161.3	0	46.3	0	37.61	0	0.01	0	0.000087	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   701.15	0	  1.1709	0	34.7177	0	27.791	0	160.2	0	46.0	0	37.54	0	0.01	0	0.000090	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   650.76	0	  1.2073	0	34.7189	0	27.789	0	159.2	0	45.8	0	37.44	0	0.01	0	0.000092	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   601.21	0	  1.2451	0	34.7200	0	27.787	0	158.7	0	45.7	0	37.41	0	0.01	0	0.000092	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   551.45	0	  1.2757	0	34.7205	0	27.785	0	157.7	0	45.4	0	37.46	0	0.02	0	0.000093	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   501.66	0	  1.3096	0	34.7206	0	27.782	0	156.7	0	45.2	0	37.40	0	0.01	0	0.000095	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   451.55	0	  1.3387	0	34.7212	0	27.78	0	156.2	0	45.1	0	37.61	0	0.01	0	0.000095	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   401.19	0	  1.3753	0	34.7208	0	27.777	0	155.5	0	44.9	0	37.42	0	0.02	0	0.000097	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   381.49	0	  1.3969	0	34.7207	0	27.775	0	155.2	0	44.9	0	37.48	0	0.01	0	0.000095	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   361.35	0	  1.4162	0	34.7201	0	27.773	0	155.0	0	44.8	0	37.38	0	0.00	0	0.000099	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   351.21	0	  1.4291	0	34.7196	0	27.771	0	154.9	0	44.8	0	37.25	0	0.17	0	0.000097	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   341.14	0	  1.4413	0	34.7191	0	27.77	0	154.9	0	44.8	0	37.23	0	0.01	0	0.000097	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   331.38	0	  1.4539	0	34.7187	0	27.768	0	154.6	0	44.7	0	37.46	0	0.01	0	0.000119	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   320.90	0	  1.4633	0	34.7178	0	27.767	0	154.3	0	44.7	0	37.38	0	0.01	0	0.000103	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   311.31	0	  1.4741	0	34.7169	0	27.765	0	154.4	0	44.7	0	37.17	0	0.01	0	0.000099	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   301.14	0	  1.4858	0	34.7158	0	27.763	0	154.5	0	44.8	0	37.28	0	0.01	0	0.000099	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   291.03	0	  1.4890	0	34.7139	0	27.761	0	154.0	0	44.6	0	37.28	0	0.02	0	0.000100	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   281.42	0	  1.4961	0	34.7121	0	27.759	0	153.7	0	44.5	0	37.30	0	0.03	0	0.000100	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   271.38	0	  1.4973	0	34.7100	0	27.758	0	153.6	0	44.5	0	37.39	0	0.01	0	0.000109	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   260.93	0	  1.5070	0	34.7060	0	27.754	0	153.9	0	44.6	0	37.32	0	0.03	0	0.000100	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   251.05	0	  1.4999	0	34.7025	0	27.751	0	154.1	0	44.7	0	37.23	0	0.01	0	0.000100	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   241.46	0	  1.4789	0	34.6963	0	27.748	0	154.3	0	44.7	0	37.41	0	0.03	0	0.000125	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   230.82	0	  1.3984	0	34.6797	0	27.741	0	155.2	0	44.9	0	37.32	0	0.02	0	0.000120	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   220.75	0	  1.3331	0	34.6629	0	27.733	0	156.8	0	45.2	0	37.31	0	0.03	0	0.000109	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   211.66	0	  1.2088	0	34.6382	0	27.724	0	159.7	0	45.9	0	37.17	0	0.01	0	0.000102	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   201.57	0	  0.8216	0	34.5650	0	27.696	0	170.0	0	48.3	0	37.16	0	0.03	0	0.000102	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   191.32	0	  0.6608	0	34.5352	0	27.685	0	178.1	0	50.4	0	36.96	0	0.02	0	0.000107	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   181.33	0	  0.4767	0	34.4992	0	27.67	0	186.4	0	52.5	0	36.81	0	0.04	0	0.000112	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   171.38	0	  0.0997	0	34.4266	0	27.639	0	197.7	0	55.1	0	36.33	0	0.04	0	0.000103	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   161.45	0	 -0.2871	0	34.3598	0	27.613	0	213.4	0	58.9	0	35.67	0	0.03	0	0.000105	0
