,Lat,Lon,Shape
188,-65.7464024159,245.037210169,1
189,-65.6549471539,244.153103434,1
190,-65.7224674032,243.675013533,1
191,-65.6559790499,242.956165153,1
192,-65.7193623871,242.474774256,1
193,-65.6466937451,241.75964457,1
194,-65.7059124411,241.275377039,1
195,-65.5177964137,240.101098161,1
196,-65.4587442966,239.15763265,1
197,-65.2531352624,238.013213279,1
198,-65.2991115971,237.528807709,1
199,-65.2015261671,236.844030202,1
200,-65.2433438733,236.358570645,1
201,-65.1399555355,235.680333866,1
202,-65.1776177505,235.194236993,1
203,-65.0685063377,234.523038306,1
204,-65.1020218773,234.036715827,1
205,-64.8993562101,233.095524338,1
206,-64.8382846464,232.33677381,1
207,-64.5783887403,231.286893362,1
208,-64.5538291893,230.674610865,1
209,-64.3760529778,229.912719705,1
210,-64.3929445945,229.435445189,1
211,-64.3047273815,228.941081065,1
212,-64.3666381202,228.591259037,1
213,-64.2263120633,227.975273904,1
214,-64.1866688163,227.376055218,1
215,-64.0408303021,226.77146974,1
216,-64.0968941279,226.420265546,1
217,-63.9976747323,225.943055232,1
218,-64.0002298339,225.471559554,1
219,-63.6378080294,224.418926824,1
220,-63.4237365342,223.501659291,1
221,-63.1003293121,222.60931804,1
222,-63.1449238259,222.262843695,1
223,-62.9769314537,221.713356949,1
224,-62.9094792323,221.155864424,1
225,-62.6815896647,220.51539399,1
226,-62.6646914386,220.069044698,1
227,-62.5437371832,219.644174957,1
228,-62.5800792593,219.300508544,1
229,-62.5131446581,218.979343823,1
230,-62.4565618753,218.880552888,1
231,-62.2977091894,218.806095033,1
232,-62.2410394985,218.708467078,1
233,-62.1726797202,218.392866698,1
234,-62.205503697,218.052369399,1
235,-61.9052517744,217.362223054,1
236,-61.7029756837,216.656108416,1
237,-61.3370513987,215.905514796,1
238,-61.3039508262,215.485193123,1
239,-61.1093868401,215.016505573,1
240,-61.0731995884,214.600761888,1
241,-60.8753882769,214.142176919,1
242,-60.8361821131,213.731110341,1
243,-60.6352405096,213.282565297,1
244,-60.5930836961,212.876261752,1
245,-60.4499476959,212.515972102,1
246,-60.4662097166,212.191156498,1
247,-60.259811205,211.759480085,1
248,-60.1509327561,211.285778707,1
249,-59.9414999461,210.865394775,1
250,-59.9531149171,210.545546591,1
251,-59.9896150398,210.421852163,1
252,-60.1244435402,210.246049966,1
253,-60.1606463632,210.121232271,1
254,-60.3122801944,209.294452058,1
255,-60.4868969791,208.657117457,1
256,-60.9231725485,207.295317048,1
257,-61.2487870107,206.632220876,1
258,-61.8743893367,204.227745318,1
259,-62.2201065076,202.52407272,1
260,-62.525137054,200.427042396,1
261,-62.438925861,200.023332899,1
262,-62.468525897,199.379026263,1
263,-62.3789412065,198.979663245,1
264,-62.5588479593,197.288189068,1
265,-62.746074178,195.923585556,1
266,-63.0071082584,194.425210877,1
267,-63.0251716525,194.269784754,1
268,-62.9899761423,193.919630781,1
269,-62.8658346928,193.688062733,1
270,-62.8947528803,192.719331062,1
271,-62.9725508725,191.938150495,1
272,-63.172029445,190.550253951,1
273,-63.3676243085,189.970297611,1
274,-63.5562030932,188.384954525,1
275,-63.6164374335,187.410168958,1
276,-63.6276440613,185.759633736,1
277,-63.6553172821,185.105090447,1
278,-63.7581235626,184.297386664,1
279,-63.7634972026,184.132686623,1
280,-63.7054018537,183.627729929,1
281,-63.7142330272,183.298700861,1
282,-63.8115996039,182.151719472,1
283,-63.8226900514,181.324521912,1
284,-63.7562272826,179.834882937,1
285,-63.6075388347,179.179199714,1
286,-63.5194700597,177.872848887,1
287,-63.361098752,177.235022674,1
288,-63.258586811,176.110521852,1
289,-63.0973593521,175.650666265,1
290,-62.966847149,174.225674097,1
291,-62.7745433603,173.308735567,1
292,-62.4023004448,169.120392542,1
293,-62.072513117,165.926210155,1
294,-61.5992408935,161.901798313,1
295,-61.5980864801,160.939681274,1
296,-61.496327576,159.887411711,1
297,-61.6072270788,159.639867469,1
