//0																									
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   999.69	0	  1.4512	0	34.7314	0	27.779	0	172.6	0	49.8	0	32.49	0	0.05	0	0.000110	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   951.56	0	  1.4861	0	34.7318	0	27.776	0	170.8	0	49.3	0	32.35	0	0.06	0	0.000108	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   901.65	0	  1.5339	0	34.7328	0	27.773	0	169.7	0	49.0	0	32.40	0	0.06	0	0.000113	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   851.57	0	  1.5789	0	34.7334	0	27.77	0	168.6	0	48.8	0	32.36	0	0.05	0	0.000119	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   801.56	0	  1.6233	0	34.7335	0	27.766	0	167.6	0	48.6	0	32.40	0	0.06	0	0.000115	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   751.56	0	  1.6578	0	34.7326	0	27.762	0	166.9	0	48.4	0	32.50	0	0.06	0	0.000117	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   700.93	0	  1.6929	0	34.7319	0	27.758	0	166.0	0	48.2	0	32.51	0	0.06	0	0.000119	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   651.05	0	  1.7255	0	34.7304	0	27.754	0	165.0	0	47.9	0	32.60	0	0.06	0	0.000120	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   600.88	0	  1.7546	0	34.7276	0	27.749	0	164.0	0	47.7	0	32.64	0	0.06	0	0.000131	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   551.44	0	  1.7889	0	34.7241	0	27.744	0	162.9	0	47.4	0	32.83	0	0.07	0	0.000117	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   501.59	0	  1.8256	0	34.7195	0	27.737	0	161.4	0	47.0	0	32.95	0	0.07	0	0.000119	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   451.64	0	  1.8519	0	34.7146	0	27.73	0	160.2	0	46.7	0	33.15	0	0.06	0	0.000119	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   401.10	0	  1.8744	0	34.7062	0	27.721	0	158.6	0	46.2	0	33.43	0	0.06	0	0.000120	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   381.02	0	  1.8770	0	34.7036	0	27.719	0	158.2	0	46.1	0	33.34	0	0.07	0	0.000127	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   359.25	0	  1.8807	0	34.7001	0	27.716	0	157.7	0	46.0	0	33.47	0	0.06	0	0.000131	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   351.37	0	  1.8824	0	34.6988	0	27.715	0	157.6	0	45.9	0	33.58	0	0.06	0	0.000122	0
7620SoOcn	 1	C	03/04/2013	12:57	 149.190	-63.310		   341.31	0	  1.8793	0	34.6968	0	27.713	0	157.3	0	45.8	0	33.64	0	0.06	0	0.000138	0
