//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1849.00	0	0.7796	0	34.7010	0	27.819	0	191.3	0	54.5	0	39.50	0	0.02	0	0.000093	0	3.86	0	7.8104	0	7.5418	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1799.20	0	0.8232	0	34.7020	0	27.817	0	201.9	0	57.5	0	39.50	0	0.02	0	0.000094	0	3.85	0	7.8294	0	7.5581	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1749.50	0	0.8597	0	34.7060	0	27.818	0	201.6	0	57.5	0	39.20	0	0.03	0	0.000093	0	3.88	0	7.8386	0	7.5655	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1699.00	0	0.8982	0	34.7070	0	27.817	0	201.2	0	57.4	0	39.30	0	0.03	0	0.000095	0	3.86	0	7.8383	0	7.5641	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1649.40	0	0.9350	0	34.7080	0	27.815	0	200.7	0	57.4	0	39.30	0	0.02	0	0.000095	0	3.88	0	7.8390	0	7.5635	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1599.30	0	0.9782	0	34.7100	0	27.814	0	200.3	0	57.3	0	39.30	0	0.02	0	0.000095	0	3.89	0	7.8383	0	7.5619	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1549.30	0	1.0249	0	34.7130	0	27.813	0	199.8	0	57.2	0	39.00	0	0.02	0	0.000094	0	3.88	0	7.8357	0	7.5584	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1499.00	0	1.0686	0	34.7160	0	27.813	0	199.3	0	57.2	0	39.00	0	0.03	0	0.000096	0	3.88	0	7.8340	0	7.5558	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1448.90	0	1.1078	0	34.7180	0	27.812	0	198.9	0	57.1	0	39.00	0	0.03	0	0.000094	0	3.87	0	7.8337	0	7.5545	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1399.10	0	1.1450	0	34.7190	0	27.810	0	198.5	0	57.1	0	39.00	0	0.03	0	0.000100	0	3.91	0	7.8361	0	7.5555	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1349.40	0	1.1696	0	34.7200	0	27.809	0	198.0	0	56.9	0	39.00	0	0.03	0	0.000094	0	3.90	0	7.8414	0	7.5591	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1299.60	0	1.2208	0	34.7220	0	27.807	0	197.5	0	56.9	0	38.90	0	0.02	0	0.000097	0	3.88	0	7.8409	0	7.5577	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1249.40	0	1.2672	0	34.7250	0	27.806	0	197.2	0	56.8	0	38.90	0	0.02	0	0.000095	0	3.89	0	7.8400	0	7.5559	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1199.50	0	1.3107	0	34.7270	0	27.805	0	196.7	0	56.8	0	38.80	0	0.02	0	0.000097	0	3.93	0	7.8407	0	7.5554	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1149.30	0	1.3511	0	34.7290	0	27.803	0	196.1	0	56.6	0	38.60	0	0.02	0	0.000098	0	3.90	0	7.8433	0	7.5567	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1099.70	0	1.4015	0	34.7310	0	27.801	0	195.5	0	56.5	0	38.70	0	0.03	0	0.000096	0	3.88	0	7.8444	0	7.5568	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		1049.40	0	1.4574	0	34.7330	0	27.799	0	194.7	0	56.4	0	38.70	0	0.03	0	0.000098	0	3.90	0	7.8435	0	7.5551	0
0507SoOcn	1	C	02/15/2016	15:53	74.173	-61.813		999.80	0	1.5036	0	34.7340	0	27.797	0	193.8	0	56.2	0	38.80	0	0.03	0	0.000099	0	3.90	0	7.8438	0	7.5544	0
