//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		1598.96	0	-0.0459	0	34.661	0	27.839	0	198.5	0	55.2	0	32.26	0	0.03	0	0.000087	0	7.7211	0	7.4405	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		1498.81	0	-0.0125	0	34.6624	0	27.838	0	195.6	0	54.5	0	32.55	0	0.02	0	0.000087	0	7.7199	0	7.4366	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		1398.71	0	0.0237	0	34.6639	0	27.837	0	193.5	0	53.9	0	32.67	0	0.01	0	0.000083	0	7.7225	0	7.4361	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		1299.2	0	0.0604	0	34.6656	0	27.835	0	191.5	0	53.4	0	32.87	0	0.01	0	0.000088	0	7.7233	0	7.4341	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		1198.81	0	0.0943	0	34.6672	0	27.834	0	189.5	0	52.9	0	32.92	0	0.02	0	0.00009	0	7.7265	0	7.4343	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		1099.68	0	0.1263	0	34.6686	0	27.833	0	187.7	0	52.5	0	33.07	0	0.01	0	0.000087	0	7.7282	0	7.4329	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		999.61	0	0.1598	0	34.6704	0	27.832	0	185.7	0	52	0	33.1	0	0.01	0	0.00009	0	7.7295	0	7.4313	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		951.6	0	0.18	0	34.6716	0	27.832	0	184.6	0	51.7	0	33.25	0	0.01	0	0.000088	0	7.712	0	7.414	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		901.46	0	0.2003	0	34.6727	0	27.831	0	183.5	0	51.4	0	33.31	0	0.01	0	0.000101	0	7.7131	0	7.4136	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		851.13	0	0.2229	0	34.6736	0	27.83	0	182.1	0	51	0	33.32	0	0.02	0	0.000091	0	7.7147	0	7.4137	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		801.45	0	0.2467	0	34.6741	0	27.829	0	180.8	0	50.7	0	33.58	0	0.02	0	0.000091	0	7.7151	0	7.4128	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		750.39	0	0.272	0	34.6757	0	27.828	0	179.2	0	50.3	0	33.36	0	0.02	0	0.000087	0	7.715	0	7.4114	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		701.61	0	0.298	0	34.6769	0	27.827	0	177.8	0	49.9	0	33.55	0	0.04	0	0.000095	0	7.7156	0	7.4107	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		651.31	0	0.3253	0	34.678	0	27.826	0	176.7	0	49.7	0	33.67	0	0.02	0	0.000098	0	7.7167	0	7.4104	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		601.2	0	0.3486	0	34.6791	0	27.825	0	175.4	0	49.3	0	33.77	0	0.03	0	0.000096	0	7.716	0	7.4084	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		551.3	0	0.3727	0	34.6796	0	27.824	0	173.9	0	48.9	0	33.75	0	0.04	0	0.000093	0	7.716	0	7.4071	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		501.72	0	0.393	0	34.6803	0	27.823	0	173.3	0	48.8	0	34.01	0	0.01	0	0.000091	0	7.7165	0	7.4062	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		450.84	0	0.4235	0	34.6809	0	27.821	0	171.8	0	48.4	0	34	0	0.03	0	0.000093	0	7.7154	0	7.404	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		401.42	0	0.4489	0	34.6812	0	27.819	0	170.9	0	48.2	0	33.86	0	0.02	0	0.000093	0	7.7179	0	7.405	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		381.49	0	0.4553	0	34.6809	0	27.819	0	171.2	0	48.3	0	33.96	0	0.06	0	0.000152	0	7.7185	0	7.4049	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		361.24	0	0.463	0	34.6809	0	27.818	0	170.8	0	48.2	0	33.96	0	0.03	0	0.000109	0	7.7173	0	7.4033	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		351.42	0	0.4716	0	34.6811	0	27.817	0	170.5	0	48.1	0	33.95	0	0.01	0	0.000098	0	7.7178	0	7.4036	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		341.69	0	0.4761	0	34.6811	0	27.817	0	170.5	0	48.1	0	34.1	0	0.02	0	0.000106	0	7.7166	0	7.4022	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		331	0	0.4823	0	34.6813	0	27.817	0	170.2	0	48	0	34.07	0	0.02	0	0.000099	0	7.7164	0	7.4018	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		321.41	0	0.493	0	34.681	0	27.816	0	170	0	48	0	34.02	0	0.04	0	0.000099	0	7.7163	0	7.4015	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		311.47	0	0.4959	0	34.6812	0	27.816	0	170	0	48	0	34.25	0	0.04	0	0.000101	0	7.7164	0	7.4013	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		301.68	0	0.5022	0	34.6813	0	27.815	0	169.9	0	48	0	33.94	0	0.04	0	0.000104	0	7.7185	0	7.4029	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		291.52	0	0.5071	0	34.6808	0	27.814	0	170.2	0	48.1	0	33.96	0	0.03	0	0.000104	0	7.7182	0	7.4024	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		279.95	0	0.5145	0	34.6808	0	27.814	0	169.5	0	47.9	0	34.12	0	0.04	0	0.000117	0	7.7148	0	7.399	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		270.64	0	0.5187	0	34.6808	0	27.814	0	169.1	0	47.8	0	34.09	0	0.04	0	0.000117	0	7.7159	0	7.3998	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		260.67	0	0.5273	0	34.6806	0	27.813	0	169	0	47.7	0	33.99	0	0.03	0	0.000114	0	7.7151	0	7.3988	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		251.6	0	0.5374	0	34.6801	0	27.812	0	168.8	0	47.7	0	34.07	0	0.03	0	0.000117	0	7.7164	0	7.3999	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		240.71	0	0.5448	0	34.6803	0	27.811	0	168.8	0	47.7	0	34	0	0.04	0	0.000119	0	7.7174	0	7.4005	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		230.93	0	0.5514	0	34.68	0	27.81	0	168.9	0	47.7	0	34.16	0	0.04	0	0.000122	0	7.7161	0	7.3991	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		221.16	0	0.5582	0	34.6795	0	27.809	0	168.7	0	47.7	0	34.21	0	0.03	0	0.000138	0	7.7178	0	7.4004	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		210.86	0	0.5667	0	34.6788	0	27.808	0	168.6	0	47.7	0	34.13	0	0.04	0	0.000119	0	7.7174	0	7.3999	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		200.79	0	0.5735	0	34.6782	0	27.807	0	168.6	0	47.7	0	34.19	0	0.05	0	0.000115	0	7.7168	0	7.3991	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		191.66	0	0.5771	0	34.6767	0	27.806	0	168.5	0	47.7	0	33.98	0	0.04	0	0.000111	0	7.7176	0	7.3995	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		181.01	0	0.5744	0	34.6737	0	27.804	0	168.8	0	47.7	0	33.98	0	0.04	0	0.000104	0	7.7171	0	7.3987	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		171.25	0	0.5594	0	34.6693	0	27.801	0	169.4	0	47.9	0	33.89	0	0.04	0	0.000112	0	7.7183	0	7.3993	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		161.27	0	0.5268	0	34.6626	0	27.798	0	170.6	0	48.2	0	33.88	0	0.05	0	0.000111	0	7.7214	0	7.4014	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		151.64	0	0.4712	0	34.6507	0	27.793	0	172.8	0	48.7	0	33.71	0	0.06	0	0.000146	0	7.7241	0	7.4027	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		141.43	0	0.3324	0	34.623	0	27.781	0	177.3	0	49.8	0	33.3	0	0.07	0	0.000106	0	7.7317	0	7.4075	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		131.05	0	0.0838	0	34.5752	0	27.761	0	187.7	0	52.4	0	33.06	0	0.12	0	0.000117	0	7.7443	0	7.4153	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		121.25	0	-0.3656	0	34.4871	0	27.721	0	205.3	0	56.6	0	31.35	0	0.13	0	0.000115	0	7.7729	0	7.4351	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		111.69	0	-1.2655	0	34.3242	0	27.648	0	252.7	0	67.9	0	29.71	0	0.21	0	0.000107	0	7.8155	0	7.4617	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		101.7	0	-1.6621	0	34.2362	0	27.601	0	277.1	0	73.6	0	28.28	0	0.24	0	0.000154	0	7.839	0	7.4776	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		96.49	0	-1.6618	0	34.223	0	27.59	0	281.1	0	74.7	0	28.16	0	0.34	0	0.000143	0	7.8422	0	7.4803	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		91.52	0	-1.7224	0	34.2025	0	27.577	0	284.9	0	75.6	0	27.97	0	0.35	0	0.000164	0	7.8476	0	7.4843	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		86.65	0	-1.7483	0	34.1909	0	27.57	0	288.8	0	76.5	0	27.89	0	0.46	0	0.000136	0	7.8486	0	7.4848	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		80.86	0	-1.7711	0	34.1789	0	27.561	0	291.6	0	77.2	0	27.63	0	0.88	0	0.000276	0	7.8513	0	7.4867	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		76.62	0	-1.7713	0	34.1728	0	27.556	0	293.1	0	77.6	0	27.45	0	0.61	0	0.000176	0	7.8529	0	7.488	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		71.35	0	-1.7715	0	34.1645	0	27.55	0	294	0	77.8	0	27.76	0	0.74	0	0.000213	0	7.8543	0	7.4892	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		66.77	0	-1.759	0	34.152	0	27.539	0	294.3	0	78	0	27.55	0	1.27	0	0.000256	0	7.8553	0	7.49	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		61.55	0	-1.7486	0	34.139	0	27.528	0	295	0	78.1	0	27.46	0	1.17	0	0.000274	0	7.8581	0	7.4926	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		56.64	0	-1.7185	0	34.1176	0	27.509	0	295.8	0	78.4	0	27.41	0	1.58	0	0.000245	0	7.8662	0	7.5003	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		51.61	0	-1.5383	0	34.0372	0	27.434	0	302.3	0	80.5	0	26.33	0	3.16	0	0.000301	0	7.8816	0	7.5167	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		46.7	0	-0.9547	0	33.8643	0	27.259	0	305.2	0	82.4	0	24.28	0	3.08	0	0.000446	0	7.9034	0	7.5443	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		41.81	0	-0.6307	0	33.7888	0	27.176	0	312.7	0	85.1	0	23.63	0	4.55	0	0.00064	0	7.9172	0	7.5612	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		36.81	0	-0.2526	0	33.7121	0	27.088	0	315.7	0	86.8	0	22.12	0	5.67	0	0.000795	0	7.9374	0	7.5846	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		31.34	0	0.2394	0	33.6096	0	26.968	0	317.2	0	88.3	0	21.12	0	6.13	0	0.001056	0	7.9332	0	7.5873	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		26.17	0	0.2532	0	33.6114	0	26.969	0	320.5	0	89.2	0	20.86	0	6.2	0	0.000933	0	7.9352	0	7.5891	0
9125SoOcn	1	C	1/22/2015	5:31	359.958	-61.006		21.63	0	0.366	0	33.5982	0	26.949	0	320.1	0	89.4	0	20.87	0	6.11	0	0.000999	0	7.9316	0	7.5872	0
